,5e1c77b25299ce000b689d9e
PondOutcome,74
TotalOutcome,814
PondStart,PondStart
PondIntroTime,15.272455094382167
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.339
Pond11Fish1_PondTime,9.733
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,826
Pond11Fish1_TimeLeft,367.527
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.771
Pond11Fish2_PondTime,18.1
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,838
Pond11Fish2_TimeLeft,359.16
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,gray
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.417
Pond11Fish3_PondTime,27.133
Pond11Fish3_PondOutcome,26
Pond11Fish3_TotalOutcome,840
Pond11Fish3_TimeLeft,350.127
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.36
Pond11Fish4_PondTime,37
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,852
Pond11Fish4_TimeLeft,340.26
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,gray
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,0.931
Pond11Fish5_PondTime,47.933
Pond11Fish5_PondOutcome,40
Pond11Fish5_TotalOutcome,854
Pond11Fish5_TimeLeft,329.327
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.051
Pond11Fish6_PondTime,60.301
Pond11Fish6_PondOutcome,52
Pond11Fish6_TotalOutcome,866
Pond11Fish6_TimeLeft,316.959
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,1.213
Pond11Fish7_PondTime,74.668
Pond11Fish7_PondOutcome,64
Pond11Fish7_TotalOutcome,878
Pond11Fish7_TimeLeft,302.592
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,1.254
Pond11Fish8_PondTime,92.034
Pond11Fish8_PondOutcome,76
Pond11Fish8_TotalOutcome,890
Pond11Fish8_TimeLeft,285.226
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,15
Pond11Fish9_CatchTime,0.927
Pond11Fish9_PondTime,114.401
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,902
Pond11Fish9_TimeLeft,262.859
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,20
Pond11Fish10_CatchTime,0.96
Pond11Fish10_PondTime,146.767
