,56cc926a425487000a76dbc6
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,1.159
Pond12Fish11_PondTime,82.233
Pond12Fish11_PondOutcome,120
Pond12Fish11_TotalOutcome,718
Pond12Fish11_TimeLeft,393.024
Type,RD
FishN,15
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,7.5
Pond12Fish12_CatchTime,1.108
Pond12Fish12_PondTime,93.17
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,730
Pond12Fish12_TimeLeft,382.087
Type,RD
FishN,15
Fish,13
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,8.571428571428571
Pond12Fish13_CatchTime,0.806
Pond12Fish13_PondTime,105.535
Pond12Fish13_PondOutcome,144
Pond12Fish13_TotalOutcome,742
Pond12Fish13_TimeLeft,369.722
PondEnd_LastFish,13
FishN,19
Type,RD
GiveUpTime,0.52
PondTime,119.657
TimeLeft,355.095
PondOutcome,144
TotalOutcome,742
PondStart,PondStart
PondIntroTime,15.609819001983851
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.924
Pond5Fish1_PondTime,9.735
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,754
Pond5Fish1_TimeLeft,329.135
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.192
Pond5Fish2_PondTime,18.103
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,766
Pond5Fish2_TimeLeft,320.768
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.901
Pond5Fish3_PondTime,27.134
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,778
Pond5Fish3_TimeLeft,311.736
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,gray
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.952
Pond5Fish4_PondTime,37.005
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,780
Pond5Fish4_TimeLeft,301.866
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.066
Pond5Fish5_PondTime,47.934
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,792
Pond5Fish5_TimeLeft,290.937
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.937
Pond5Fish6_PondTime,60.302
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,804
Pond5Fish6_TimeLeft,278.569
PondEnd_LastFish,6
FishN,12
Type,RD
GiveUpTime,0.809
PondTime,74.576
TimeLeft,263.79
PondOutcome,62
TotalOutcome,804
PondStart,PondStart
PondIntroTime,19.25384480971843
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.852
Pond8Fish1_PondTime,9.733
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,816
Pond8Fish1_TimeLeft,234.184
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.871
Pond8Fish2_PondTime,18.102
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,828
Pond8Fish2_TimeLeft,225.816
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,-1
Pond8Fish3_PondTime,27.184
Pond8Fish3_PondOutcome,24
Pond8Fish3_TotalOutcome,828
Pond8Fish3_TimeLeft,216.734
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,1.552
Pond8Fish4_PondTime,37.052
Pond8Fish4_PondOutcome,36
Pond8Fish4_TotalOutcome,840
Pond8Fish4_TimeLeft,206.866
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.689
Pond8Fish5_PondTime,48.006
Pond8Fish5_PondOutcome,48
Pond8Fish5_TotalOutcome,852
Pond8Fish5_TimeLeft,195.912
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.976
Pond8Fish6_PondTime,60.368
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,864
Pond8Fish6_TimeLeft,183.55
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,0.824
Pond8Fish7_PondTime,74.737
