,5e1b28d4d370f435a62cfbe2
Pond5Fish7_CatchTime,1.462
Pond5Fish7_PondTime,58.292
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,532
Pond5Fish7_TimeLeft,580.626
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,1.089
Pond5Fish8_PondTime,69.271
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,544
Pond5Fish8_TimeLeft,569.647
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,1.372
Pond5Fish9_PondTime,81.659
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,556
Pond5Fish9_TimeLeft,557.258
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,1.359
Pond5Fish10_PondTime,96.049
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,568
Pond5Fish10_TimeLeft,542.868
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,12
Pond5Fish11_CatchTime,1.02
Pond5Fish11_PondTime,113.448
Pond5Fish11_PondOutcome,132
Pond5Fish11_TotalOutcome,580
Pond5Fish11_TimeLeft,525.47
Type,RD
FishN,14
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,15
Pond5Fish12_CatchTime,1.518
Pond5Fish12_PondTime,135.848
Pond5Fish12_PondOutcome,144
Pond5Fish12_TotalOutcome,592
Pond5Fish12_TimeLeft,503.07
Type,RD
FishN,14
Fish,13
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,20
Pond5Fish13_CatchTime,1.101
Pond5Fish13_PondTime,168.253
Pond5Fish13_PondOutcome,156
Pond5Fish13_TotalOutcome,604
Pond5Fish13_TimeLeft,470.665
PondEnd_LastFish,13
FishN,15
Type,RD
GiveUpTime,36.919
PondTime,204.467
TimeLeft,433.937
PondOutcome,156
TotalOutcome,604
PondStart,PondStart
PondIntroTime,12.089714684989303
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.596
Pond4Fish1_PondTime,8.908
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,616
Pond4Fish1_TimeLeft,412.256
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.18
Pond4Fish2_PondTime,16.305
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,628
Pond4Fish2_TimeLeft,404.858
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
