,5b2150d538b0be00014137fb
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.797
Pond10Fish5_PondTime,62.559
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,925
Pond10Fish5_TimeLeft,148.514
Pond10_GiveUpTime,0.536
Pond10_PondTime,73.759
Pond10_PondOutcome,55
Pond10_TotalOutcome,925
Pond10_TimeLeft,137.314
Pond4IntroTime,17.49567030230537
Pond4_Type,RT
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.83
Pond4Fish1_PondTime,26.987
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,935
Pond4Fish1_TimeLeft,110.327
Pond4_Type,RT
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.81
Pond4Fish2_PondTime,34.347
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,945
Pond4Fish2_TimeLeft,102.967
Pond4_Type,RT
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.808
Pond4Fish3_PondTime,42.161
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,955
Pond4Fish3_TimeLeft,95.153
Pond4_Type,RT
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.98
Pond4Fish4_PondTime,50.521
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,965
Pond4Fish4_TimeLeft,86.793
Pond4_Type,RT
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,0.563
Pond4Fish5_PondTime,59.541
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,975
Pond4Fish5_TimeLeft,77.773
Pond4_Type,RT
Pond4Fish6_FishType,purple
