,5b9125803e41080001a850e5
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.938
Pond3Fish6_GiveUpTime,-1
Pond3Fish6_PondTime,8.717
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,605
Pond3Fish6_TimeLeft,400.64
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,1.11
Pond3Fish7_GiveUpTime,-1
Pond3Fish7_PondTime,9.1
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,616
Pond3Fish7_TimeLeft,391.54
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.838
Pond3Fish8_GiveUpTime,-1
Pond3Fish8_PondTime,9.551
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,627
Pond3Fish8_TimeLeft,381.989
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.797
Pond3Fish9_GiveUpTime,-1
Pond3Fish9_PondTime,10.097
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,638
Pond3Fish9_TimeLeft,371.892
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.284
Pond3Fish10_GiveUpTime,-1
Pond3Fish10_PondTime,10.752
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,649
Pond3Fish10_TimeLeft,361.139
Pond3_Type,N
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.045
Pond3Fish11_GiveUpTime,-1
Pond3Fish11_PondTime,11.599
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,660
Pond3Fish11_TimeLeft,349.54
Pond3_Type,N
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,0.753
Pond3Fish12_GiveUpTime,-1
Pond3Fish12_PondTime,12.667
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,671
Pond3Fish12_TimeLeft,336.873
Pond3_Type,N
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,0.975
Pond3Fish13_GiveUpTime,-1
Pond3Fish13_PondTime,14.099
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,682
Pond3Fish13_TimeLeft,322.774
Pond3_Type,N
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,1.051
Pond3Fish14_GiveUpTime,-1
Pond3Fish14_PondTime,16.1
Pond3Fish14_PondOutcome,154
