,5ac8fd9f0527ba0001c23ddb
Pond12Fish5_TotalOutcome,319
Pond12Fish5_TimeLeft,695.151
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.185
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.1
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,330
Pond12Fish6_TimeLeft,685.051
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.077
Pond12Fish7_GiveUpTime,-1
Pond12Fish7_PondTime,10.763
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,341
Pond12Fish7_TimeLeft,674.286
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.06
Pond12Fish8_GiveUpTime,-1
Pond12Fish8_PondTime,11.599
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,352
Pond12Fish8_TimeLeft,662.687
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.85
Pond12Fish9_GiveUpTime,-1
Pond12Fish9_PondTime,12.668
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,363
Pond12Fish9_TimeLeft,650.019
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.127
Pond12Fish10_GiveUpTime,-1
Pond12Fish10_PondTime,14.1
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,374
Pond12Fish10_TimeLeft,635.919
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.58
Pond12Fish11_GiveUpTime,-1
Pond12Fish11_PondTime,16.098
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,385
Pond12Fish11_TimeLeft,619.821
Pond12_Type,N
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,1.854
Pond12Fish12_GiveUpTime,-1
Pond12Fish12_PondTime,19.1
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,396
Pond12Fish12_TimeLeft,600.72
Pond12_Type,N
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,15
Pond12Fish13_CatchTime,0.773
Pond12Fish13_GiveUpTime,-1
Pond12Fish13_PondTime,24.097
Pond12Fish13_PondOutcome,143
Pond12Fish13_TotalOutcome,407
Pond12Fish13_TimeLeft,576.622
Pond12_Type,N
Pond12Fish14_FishType,green
Pond12Fish14_FishLatency,20
Pond12Fish14_CatchTime,-1
Pond12Fish14_GiveUpTime,25.553
Pond12Fish14_PondTime,22.623
Pond12Fish14_PondOutcome,143
Pond12Fish14_TotalOutcome,407
Pond12Fish14_TimeLeft,553.999
Pond4IntroTime,14.970993425231427
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.239
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,26.173
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,418
Pond11Fish1_TimeLeft,527.825
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.047
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,7.847
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,429
Pond11Fish2_TimeLeft,519.977
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.13
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.084
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,440
Pond11Fish3_TimeLeft,511.893
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.797
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,8.382
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,451
Pond11Fish4_TimeLeft,503.51
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.44
Pond11Fish5_GiveUpTime,-1
Pond11Fish5_PondTime,8.714
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,462
Pond11Fish5_TimeLeft,494.795
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.972
Pond11Fish6_GiveUpTime,-1
Pond11Fish6_PondTime,9.101
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,473
Pond11Fish6_TimeLeft,485.693
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.3
Pond11Fish7_GiveUpTime,-1
Pond11Fish7_PondTime,9.55
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,484
Pond11Fish7_TimeLeft,476.142
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.339
Pond11Fish8_GiveUpTime,-1
Pond11Fish8_PondTime,10.096
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,495
Pond11Fish8_TimeLeft,466.046
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.005
Pond11Fish9_GiveUpTime,-1
Pond11Fish9_PondTime,10.766
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,506
Pond11Fish9_TimeLeft,455.28
Pond11_Type,N
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.055
Pond11Fish10_GiveUpTime,-1
Pond11Fish10_PondTime,11.599
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,517
Pond11Fish10_TimeLeft,443.681
Pond11_Type,N
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,1.003
Pond11Fish11_GiveUpTime,-1
Pond11Fish11_PondTime,12.667
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,528
Pond11Fish11_TimeLeft,431.013
Pond11_Type,N
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,1.168
Pond11Fish12_GiveUpTime,-1
Pond11Fish12_PondTime,14.097
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,539
Pond11Fish12_TimeLeft,416.915
Pond11_Type,N
Pond11Fish13_FishType,green
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,1.204
Pond11Fish13_GiveUpTime,-1
Pond11Fish13_PondTime,16.099
Pond11Fish13_PondOutcome,143
Pond11Fish13_TotalOutcome,550
Pond11Fish13_TimeLeft,400.815
Pond11_Type,N
Pond11Fish14_FishType,green
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,0.944
Pond11Fish14_GiveUpTime,-1
Pond11Fish14_PondTime,19.098
Pond11Fish14_PondOutcome,154
Pond11Fish14_TotalOutcome,561
Pond11Fish14_TimeLeft,381.716
Pond11_Type,N
Pond11Fish15_FishType,green
Pond11Fish15_FishLatency,15
Pond11Fish15_CatchTime,1.246
Pond11Fish15_GiveUpTime,-1
Pond11Fish15_PondTime,24.099
Pond11Fish15_PondOutcome,165
Pond11Fish15_TotalOutcome,572
