,5d553486ee19cf00016a808c
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.186
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.099
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,605
Pond9Fish4_TimeLeft,473.819
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.121
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.384
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,616
Pond9Fish5_TimeLeft,465.435
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,-1
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,11.191
Pond9Fish6_PondOutcome,55
Pond9Fish6_TotalOutcome,616
Pond9Fish6_TimeLeft,454.244
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,-1
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,15.209
Pond9Fish7_PondOutcome,55
Pond9Fish7_TotalOutcome,616
Pond9Fish7_TimeLeft,439.034
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,-1
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,11.648
Pond9Fish8_PondOutcome,55
Pond9Fish8_TotalOutcome,616
Pond9Fish8_TimeLeft,427.386
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,-1
Pond9Fish9_GiveUpTime,-1
Pond9Fish9_PondTime,10.169
Pond9Fish9_PondOutcome,55
Pond9Fish9_TotalOutcome,616
Pond9Fish9_TimeLeft,417.217
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,-1
Pond9Fish10_GiveUpTime,-1
Pond9Fish10_PondTime,10.835
Pond9Fish10_PondOutcome,55
Pond9Fish10_TotalOutcome,616
Pond9Fish10_TimeLeft,406.382
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,-1
Pond9Fish11_GiveUpTime,-1
Pond9Fish11_PondTime,11.649
Pond9Fish11_PondOutcome,55
Pond9Fish11_TotalOutcome,616
Pond9Fish11_TimeLeft,394.732
