,5c6dcf4e066f6b0001556e87
Pond6Fish13_CatchTime,1.026
Pond6Fish13_GiveUpTime,-1
Pond6Fish13_PondTime,16.101
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,330
Pond6Fish13_TimeLeft,830.985
Pond6_Type,N
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,-1
Pond6Fish14_GiveUpTime,0.605
Pond6Fish14_PondTime,16.964
Pond6Fish14_PondOutcome,143
Pond6Fish14_TotalOutcome,330
Pond6Fish14_TimeLeft,814.021
Pond4IntroTime,13.787349869962782
Pond1_Type,N
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.795
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,24.997
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,341
Pond1Fish1_TimeLeft,789.024
Pond1_Type,N
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.969
Pond1Fish2_GiveUpTime,-1
Pond1Fish2_PondTime,7.84
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,352
Pond1Fish2_TimeLeft,781.184
Pond1_Type,N
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.949
Pond1Fish3_GiveUpTime,-1
Pond1Fish3_PondTime,8.092
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,363
Pond1Fish3_TimeLeft,773.092
Pond1_Type,N
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.877
Pond1Fish4_GiveUpTime,-1
Pond1Fish4_PondTime,8.376
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,374
Pond1Fish4_TimeLeft,764.716
Pond1_Type,N
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.817
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.709
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,385
Pond1Fish5_TimeLeft,756.007
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.1
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.092
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,396
Pond1Fish6_TimeLeft,746.915
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.965
Pond1Fish7_GiveUpTime,-1
Pond1Fish7_PondTime,9.545
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,407
Pond1Fish7_TimeLeft,737.37
Pond1_Type,N
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.919
Pond1Fish8_GiveUpTime,-1
Pond1Fish8_PondTime,10.094
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,418
Pond1Fish8_TimeLeft,727.276
Pond1_Type,N
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.75
Pond1Fish9_GiveUpTime,-1
Pond1Fish9_PondTime,10.759
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,429
Pond1Fish9_TimeLeft,716.517
Pond1_Type,N
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.001
Pond1Fish10_GiveUpTime,-1
Pond1Fish10_PondTime,11.596
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,440
Pond1Fish10_TimeLeft,704.92
Pond1_Type,N
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.883
Pond1Fish11_GiveUpTime,-1
Pond1Fish11_PondTime,12.662
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,451
Pond1Fish11_TimeLeft,692.258
Pond1_Type,N
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.897
Pond1Fish12_GiveUpTime,-1
Pond1Fish12_PondTime,14.097
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,462
Pond1Fish12_TimeLeft,678.161
Pond1_Type,N
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,0.957
Pond1Fish13_GiveUpTime,-1
Pond1Fish13_PondTime,16.083
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,473
Pond1Fish13_TimeLeft,662.077
Pond1_Type,N
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,-1
Pond1Fish14_GiveUpTime,0.924
Pond1Fish14_PondTime,17.551
Pond1Fish14_PondOutcome,143
Pond1Fish14_TotalOutcome,473
Pond1Fish14_TimeLeft,644.526
Pond5IntroTime,16.982016677502543
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.013
Pond3Fish1_GiveUpTime,-1
Pond3Fish1_PondTime,27.985
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,484
Pond3Fish1_TimeLeft,616.541
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.77
Pond3Fish2_GiveUpTime,-1
Pond3Fish2_PondTime,7.621
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,495
Pond3Fish2_TimeLeft,608.92
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.904
Pond3Fish3_GiveUpTime,-1
Pond3Fish3_PondTime,7.842
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,506
Pond3Fish3_TimeLeft,601.078
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
