,5c847acf879a350016dee2e5
Pond3Fish13_GiveUpTime,-1
Pond3Fish13_PondTime,14.101
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,506
Pond3Fish13_TimeLeft,655.814
Pond3_Type,N
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,-1
Pond3Fish14_GiveUpTime,1.132
Pond3Fish14_PondTime,14.53
Pond3Fish14_PondOutcome,143
Pond3Fish14_TotalOutcome,506
Pond3Fish14_TimeLeft,641.284
Pond5IntroTime,15.682310559786856
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.916
Pond9Fish1_GiveUpTime,-1
Pond9Fish1_PondTime,26.697
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,517
Pond9Fish1_TimeLeft,614.587
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.263
Pond9Fish2_GiveUpTime,-1
Pond9Fish2_PondTime,7.626
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,528
Pond9Fish2_TimeLeft,606.96
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.974
Pond9Fish3_GiveUpTime,-1
Pond9Fish3_PondTime,7.842
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,539
Pond9Fish3_TimeLeft,599.118
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.14
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.099
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,550
Pond9Fish4_TimeLeft,591.019
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.693
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.377
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,561
Pond9Fish5_TimeLeft,582.642
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.121
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,8.705
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,572
Pond9Fish6_TimeLeft,573.937
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.934
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,9.09
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,583
Pond9Fish7_TimeLeft,564.846
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.106
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,9.541
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,594
Pond9Fish8_TimeLeft,555.304
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.331
Pond9Fish9_GiveUpTime,-1
Pond9Fish9_PondTime,10.094
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,605
Pond9Fish9_TimeLeft,545.21
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.941
Pond9Fish10_GiveUpTime,-1
Pond9Fish10_PondTime,10.752
