,5acb33fd436f55000100151f
Pond11Fish7_CatchTime,1.071
Pond11Fish7_GiveUpTime,-1
Pond11Fish7_PondTime,9.551
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,539
Pond11Fish7_TimeLeft,505.697
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.011
Pond11Fish8_GiveUpTime,-1
Pond11Fish8_PondTime,10.087
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,550
Pond11Fish8_TimeLeft,495.61
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.911
Pond11Fish9_GiveUpTime,-1
Pond11Fish9_PondTime,10.763
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,561
Pond11Fish9_TimeLeft,484.847
Pond11_Type,N
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,0.713
Pond11Fish10_GiveUpTime,-1
Pond11Fish10_PondTime,11.599
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,572
Pond11Fish10_TimeLeft,473.248
Pond11_Type,N
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,0.891
Pond11Fish11_GiveUpTime,-1
Pond11Fish11_PondTime,12.666
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,583
Pond11Fish11_TimeLeft,460.581
Pond11_Type,N
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,0.897
Pond11Fish12_GiveUpTime,-1
Pond11Fish12_PondTime,14.085
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,594
Pond11Fish12_TimeLeft,446.496
Pond11_Type,N
Pond11Fish13_FishType,green
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,-1
Pond11Fish13_GiveUpTime,0.993
Pond11Fish13_PondTime,14.031
Pond11Fish13_PondOutcome,132
Pond11Fish13_TotalOutcome,594
Pond11Fish13_TimeLeft,432.465
Pond6IntroTime,18.175692146178335
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.898
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,30.838
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,605
Pond2Fish1_TimeLeft,401.627
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,0.739
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.548
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,616
Pond2Fish2_TimeLeft,392.078
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.929
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.1
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,627
Pond2Fish3_TimeLeft,381.978
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.615
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.752
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,638
Pond2Fish4_TimeLeft,371.226
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,0.818
Pond2Fish5_GiveUpTime,-1
Pond2Fish5_PondTime,11.599
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,649
Pond2Fish5_TimeLeft,359.627
Pond2_Type,N
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.818
Pond2Fish6_GiveUpTime,-1
Pond2Fish6_PondTime,12.668
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,660
Pond2Fish6_TimeLeft,346.959
Pond2_Type,N
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,2.756
Pond2Fish7_GiveUpTime,-1
Pond2Fish7_PondTime,15.44
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,671
Pond2Fish7_TimeLeft,331.519
Pond2_Type,N
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,0.952
Pond2Fish8_GiveUpTime,-1
Pond2Fish8_PondTime,17.892
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,682
Pond2Fish8_TimeLeft,313.627
Pond2_Type,N
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,0.669
Pond2Fish9_GiveUpTime,-1
Pond2Fish9_PondTime,19.616
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,693
Pond2Fish9_TimeLeft,294.011
Pond2_Type,N
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,-1
Pond2Fish10_GiveUpTime,0.711
Pond2Fish10_PondTime,21.987
Pond2Fish10_PondOutcome,99
Pond2Fish10_TotalOutcome,693
Pond2Fish10_TimeLeft,272.024
Pond7IntroTime,16.137944457586855
Pond6_Type,N
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.341
Pond6Fish1_GiveUpTime,-1
Pond6Fish1_PondTime,29.849
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,704
Pond6Fish1_TimeLeft,242.175
Pond6_Type,N
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,2.253
Pond6Fish2_GiveUpTime,-1
Pond6Fish2_PondTime,7.854
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,715
Pond6Fish2_TimeLeft,234.321
Pond6_Type,N
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.982
Pond6Fish3_GiveUpTime,-1
Pond6Fish3_PondTime,8.1
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,726
Pond6Fish3_TimeLeft,226.221
Pond6_Type,N
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,2.322
Pond6Fish4_GiveUpTime,-1
Pond6Fish4_PondTime,8.382
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,737
Pond6Fish4_TimeLeft,217.839
Pond6_Type,N
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,2.267
Pond6Fish5_GiveUpTime,-1
Pond6Fish5_PondTime,8.701
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,748
Pond6Fish5_TimeLeft,209.138
Pond6_Type,N
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.966
Pond6Fish6_GiveUpTime,-1
Pond6Fish6_PondTime,9.111
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,759
Pond6Fish6_TimeLeft,200.027
Pond6_Type,N
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.785
Pond6Fish7_GiveUpTime,-1
Pond6Fish7_PondTime,10.281
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,770
Pond6Fish7_TimeLeft,189.746
Pond6_Type,N
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.893
Pond6Fish8_GiveUpTime,-1
Pond6Fish8_PondTime,10.093
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,781
Pond6Fish8_TimeLeft,179.653
Pond6_Type,N
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.051
Pond6Fish9_GiveUpTime,-1
Pond6Fish9_PondTime,11.6
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,792
Pond6Fish9_TimeLeft,168.052
Pond6_Type,N
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,1.103
Pond6Fish10_GiveUpTime,-1
Pond6Fish10_PondTime,11.588
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,803
Pond6Fish10_TimeLeft,156.464
Pond6_Type,N
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,0.732
Pond6Fish11_GiveUpTime,-1
Pond6Fish11_PondTime,12.663
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,814
Pond6Fish11_TimeLeft,143.801
Pond6_Type,N
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,0.741
Pond6Fish12_GiveUpTime,-1
Pond6Fish12_PondTime,14.1
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,825
Pond6Fish12_TimeLeft,129.701
Pond6_Type,N
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.233
Pond6Fish13_GiveUpTime,-1
Pond6Fish13_PondTime,16.086
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,836
