,55c09521fdf99b1b8c34379f
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.593
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,583
Pond12Fish5_TimeLeft,517.376
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.819
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.144
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,594
Pond12Fish6_TimeLeft,507.232
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.223
Pond12Fish7_GiveUpTime,-1
Pond12Fish7_PondTime,10.807
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,605
Pond12Fish7_TimeLeft,496.425
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.876
Pond12Fish8_GiveUpTime,-1
Pond12Fish8_PondTime,11.635
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,616
Pond12Fish8_TimeLeft,484.789
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.047
Pond12Fish9_GiveUpTime,-1
Pond12Fish9_PondTime,12.724
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,627
Pond12Fish9_TimeLeft,472.065
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.1
Pond12Fish10_GiveUpTime,-1
Pond12Fish10_PondTime,14.098
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,638
Pond12Fish10_TimeLeft,457.966
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,0.804
Pond12Fish11_GiveUpTime,-1
Pond12Fish11_PondTime,16.196
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,649
Pond12Fish11_TimeLeft,441.77
Pond12_Type,N
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,1.084
Pond12Fish12_GiveUpTime,-1
Pond12Fish12_PondTime,19.136
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,660
Pond12Fish12_TimeLeft,422.634
Pond12_Type,N
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,15
Pond12Fish13_CatchTime,-1
Pond12Fish13_GiveUpTime,0.58
Pond12Fish13_PondTime,21.994
Pond12Fish13_PondOutcome,132
Pond12Fish13_TotalOutcome,660
Pond12Fish13_TimeLeft,400.64
Pond6IntroTime,18.940993750002235
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.093
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,29.969
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,671
Pond4Fish1_TimeLeft,370.671
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.347
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,7.684
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,682
Pond4Fish2_TimeLeft,362.987
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.01
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,7.874
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,693
Pond4Fish3_TimeLeft,355.113
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.937
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,8.135
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,704
Pond4Fish4_TimeLeft,346.977
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.066
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,8.438
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,715
Pond4Fish5_TimeLeft,338.538
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.321
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,8.8
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,726
Pond4Fish6_TimeLeft,329.738
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.227
Pond4Fish7_GiveUpTime,-1
Pond4Fish7_PondTime,9.368
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,737
Pond4Fish7_TimeLeft,320.37
Pond4_Type,N
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,1.602
Pond4Fish8_GiveUpTime,-1
Pond4Fish8_PondTime,9.656
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,748
Pond4Fish8_TimeLeft,310.713
Pond4_Type,N
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,1.088
Pond4Fish9_GiveUpTime,-1
Pond4Fish9_PondTime,10.18
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,759
Pond4Fish9_TimeLeft,300.532
Pond4_Type,N
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.152
Pond4Fish10_GiveUpTime,-1
Pond4Fish10_PondTime,10.963
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,770
Pond4Fish10_TimeLeft,289.568
Pond4_Type,N
Pond4Fish11_FishType,green
