,5d0276e3a6af0c001526c45d
Pond1Fish12_TotalOutcome,737
Pond1Fish12_TimeLeft,341.208
Pond1_Type,N
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,-1
Pond1Fish13_GiveUpTime,0.386
Pond1Fish13_PondTime,13.71
Pond1Fish13_PondOutcome,132
Pond1Fish13_TotalOutcome,737
Pond1Fish13_TimeLeft,327.497
Pond9IntroTime,15.72038825135678
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.008
Pond9Fish1_GiveUpTime,-1
Pond9Fish1_PondTime,26.748
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,748
Pond9Fish1_TimeLeft,300.748
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.72
Pond9Fish2_GiveUpTime,-1
Pond9Fish2_PondTime,7.65
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,759
Pond9Fish2_TimeLeft,293.098
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.842
Pond9Fish3_GiveUpTime,-1
Pond9Fish3_PondTime,7.89
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,770
Pond9Fish3_TimeLeft,285.207
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.855
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.118
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,781
Pond9Fish4_TimeLeft,277.089
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.854
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.406
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,792
Pond9Fish5_TimeLeft,268.682
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.789
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,8.743
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,803
Pond9Fish6_TimeLeft,259.939
Pond9_Type,N
Pond9Fish7_FishType,green
