,5d5d77d21089780001664f53
Pond11Fish3_TimeLeft,518.575
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.672
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,4.441
Pond11Fish4_PondOutcome,33
Pond11Fish4_TotalOutcome,561
Pond11Fish4_TimeLeft,514.134
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,-1
Pond11Fish5_GiveUpTime,-1
Pond11Fish5_PondTime,3.932
Pond11Fish5_PondOutcome,33
Pond11Fish5_TotalOutcome,561
Pond11Fish5_TimeLeft,510.202
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,-1
Pond11Fish6_GiveUpTime,7.872
Pond11Fish6_PondTime,0.85
Pond11Fish6_PondOutcome,33
Pond11Fish6_TotalOutcome,561
Pond11Fish6_TimeLeft,509.352
Pond7IntroTime,14.875089060515165
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.752
Pond3Fish1_GiveUpTime,-1
Pond3Fish1_PondTime,25.868
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,572
Pond3Fish1_TimeLeft,483.484
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.84
Pond3Fish2_GiveUpTime,-1
Pond3Fish2_PondTime,7.616
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,583
Pond3Fish2_TimeLeft,475.868
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.881
Pond3Fish3_GiveUpTime,-1
Pond3Fish3_PondTime,7.84
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,594
Pond3Fish3_TimeLeft,468.028
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.842
Pond3Fish4_GiveUpTime,-1
Pond3Fish4_PondTime,8.087
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,605
Pond3Fish4_TimeLeft,459.941
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.892
Pond3Fish5_GiveUpTime,-1
Pond3Fish5_PondTime,8.374
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,616
Pond3Fish5_TimeLeft,451.567
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.925
Pond3Fish6_GiveUpTime,-1
Pond3Fish6_PondTime,8.706
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,627
Pond3Fish6_TimeLeft,442.861
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.902
Pond3Fish7_GiveUpTime,-1
Pond3Fish7_PondTime,9.089
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,638
Pond3Fish7_TimeLeft,433.772
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.346
Pond3Fish8_GiveUpTime,-1
Pond3Fish8_PondTime,9.538
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,649
Pond3Fish8_TimeLeft,424.234
Pond3_Type,N
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.749
Pond3Fish9_GiveUpTime,-1
Pond3Fish9_PondTime,10.09
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,660
Pond3Fish9_TimeLeft,414.144
Pond3_Type,N
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.499
Pond3Fish10_GiveUpTime,-1
Pond3Fish10_PondTime,10.754
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,671
Pond3Fish10_TimeLeft,403.39
Pond3_Type,N
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.941
Pond3Fish11_GiveUpTime,-1
Pond3Fish11_PondTime,11.588
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,682
Pond3Fish11_TimeLeft,391.802
Pond3_Type,N
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.131
Pond3Fish12_GiveUpTime,-1
Pond3Fish12_PondTime,12.66
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,693
Pond3Fish12_TimeLeft,379.142
Pond3_Type,N
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.011
Pond3Fish13_GiveUpTime,-1
Pond3Fish13_PondTime,14.086
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,704
Pond3Fish13_TimeLeft,365.056
Pond3_Type,N
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,0.961
Pond3Fish14_GiveUpTime,-1
Pond3Fish14_PondTime,16.088
Pond3Fish14_PondOutcome,154
Pond3Fish14_TotalOutcome,715
Pond3Fish14_TimeLeft,348.968
Pond3_Type,N
Pond3Fish15_FishType,green
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,1.018
Pond3Fish15_GiveUpTime,-1
Pond3Fish15_PondTime,19.085
Pond3Fish15_PondOutcome,165
Pond3Fish15_TotalOutcome,726
Pond3Fish15_TimeLeft,329.883
Pond3_Type,N
Pond3Fish16_FishType,green
Pond3Fish16_FishLatency,15
Pond3Fish16_CatchTime,1.169
Pond3Fish16_GiveUpTime,-1
Pond3Fish16_PondTime,24.087
Pond3Fish16_PondOutcome,176
Pond3Fish16_TotalOutcome,737
Pond3Fish16_TimeLeft,305.796
Pond3_Type,N
Pond3Fish17_FishType,green
Pond3Fish17_FishLatency,20
Pond3Fish17_CatchTime,-1
Pond3Fish17_GiveUpTime,2.781
Pond3Fish17_PondTime,34.158
Pond3Fish17_PondOutcome,176
Pond3Fish17_TotalOutcome,737
Pond3Fish17_TimeLeft,271.638
Pond8IntroTime,15.953926146030426
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.872
Pond2Fish1_GiveUpTime,-1
Pond2Fish1_PondTime,28.601
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,748
Pond2Fish1_TimeLeft,243.037
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.221
Pond2Fish2_GiveUpTime,-1
Pond2Fish2_PondTime,9.548
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,759
Pond2Fish2_TimeLeft,233.489
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.265
Pond2Fish3_GiveUpTime,-1
Pond2Fish3_PondTime,10.086
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,770
Pond2Fish3_TimeLeft,223.403
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,2.288
Pond2Fish4_GiveUpTime,-1
Pond2Fish4_PondTime,10.757
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,781
Pond2Fish4_TimeLeft,212.646
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,0.943
Pond2Fish5_GiveUpTime,-1
Pond2Fish5_PondTime,11.587
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,792
Pond2Fish5_TimeLeft,201.059
Pond2_Type,N
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,2.148
Pond2Fish6_GiveUpTime,-1
Pond2Fish6_PondTime,12.663
