,5bf70a27bb5fc800018c61e9
Pond1Fish12_TotalOutcome,451
Pond1Fish12_TimeLeft,555.469
Pond1_Type,N
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,1.029
Pond1Fish13_GiveUpTime,-1
Pond1Fish13_PondTime,16.103
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,462
Pond1Fish13_TimeLeft,539.366
Pond1_Type,N
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,0.906
Pond1Fish14_GiveUpTime,-1
Pond1Fish14_PondTime,19.099
Pond1Fish14_PondOutcome,154
Pond1Fish14_TotalOutcome,473
Pond1Fish14_TimeLeft,520.267
Pond1_Type,N
Pond1Fish15_FishType,green
Pond1Fish15_FishLatency,15
Pond1Fish15_CatchTime,1.765
Pond1Fish15_GiveUpTime,-1
Pond1Fish15_PondTime,24.099
Pond1Fish15_PondOutcome,165
Pond1Fish15_TotalOutcome,484
Pond1Fish15_TimeLeft,496.168
Pond1_Type,N
Pond1Fish16_FishType,green
Pond1Fish16_FishLatency,20
Pond1Fish16_CatchTime,-1
Pond1Fish16_GiveUpTime,3.193
Pond1Fish16_PondTime,1.248
Pond1Fish16_PondOutcome,165
Pond1Fish16_TotalOutcome,484
Pond1Fish16_TimeLeft,494.92
Pond5IntroTime,11.852496520150453
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.255
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,23.519
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,495
Pond12Fish1_TimeLeft,471.401
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.587
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.383
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,506
Pond12Fish2_TimeLeft,463.018
Pond12_Type,N
Pond12Fish3_FishType,green
