,5c0798f829ddf200018ac104
Pond9Fish7_TotalOutcome,561
Pond9Fish7_TimeLeft,547.409
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.125
Pond9Fish8_PondTime,69.141
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,572
Pond9Fish8_TimeLeft,536.466
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,-1
Pond9Fish9_PondTime,81.552
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,572
Pond9Fish9_TimeLeft,524.056
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,-1
Pond9Fish10_PondTime,95.964
Pond9Fish10_PondOutcome,88
Pond9Fish10_TotalOutcome,572
Pond9Fish10_TimeLeft,509.644
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,-1
Pond9Fish11_PondTime,113.379
Pond9Fish11_PondOutcome,88
Pond9Fish11_TotalOutcome,572
Pond9Fish11_TimeLeft,492.229
PondEnd_LastFish,11
FishN,15
Type,N
GiveUpTime,55.002
PondTime,123.475
TimeLeft,481.629
PondOutcome,88
TotalOutcome,572
PondStart,PondStart
PondIntroTime,15.173314560670406
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.227
Pond4Fish1_PondTime,9.275
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,583
Pond4Fish1_TimeLeft,456.566
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.968
Pond4Fish2_PondTime,17.365
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,594
Pond4Fish2_TimeLeft,448.476
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.401
Pond4Fish3_PondTime,25.721
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,605
Pond4Fish3_TimeLeft,440.12
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.065
Pond4Fish4_PondTime,34.759
Pond4Fish4_PondOutcome,44
