,5d78ffbc9a5f5200169fb6ac
Pond4Fish9_TimeLeft,766.437
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,0.64
Pond4Fish10_PondTime,72.488
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,462
Pond4Fish10_TimeLeft,757.351
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.667
Pond4Fish11_PondTime,82.368
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,473
Pond4Fish11_TimeLeft,747.471
Type,N
FishN,19
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,0.799
Pond4Fish12_PondTime,93.344
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,484
Pond4Fish12_TimeLeft,736.495
Type,N
FishN,19
Fish,13
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,0.888
Pond4Fish13_PondTime,105.72
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,495
Pond4Fish13_TimeLeft,724.118
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,0.941
PondTime,120.075
TimeLeft,709.25
PondOutcome,143
TotalOutcome,495
PondStart,PondStart
PondIntroTime,11.237285260576755
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.969
Pond5Fish1_PondTime,9.748
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,506
Pond5Fish1_TimeLeft,687.623
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.748
Pond5Fish2_PondTime,18.149
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,517
Pond5Fish2_TimeLeft,679.222
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.986
Pond5Fish3_PondTime,27.208
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,528
Pond5Fish3_TimeLeft,670.163
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.085
Pond5Fish4_PondTime,37.116
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,539
Pond5Fish4_TimeLeft,660.255
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.945
Pond5Fish5_PondTime,48.076
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,550
Pond5Fish5_TimeLeft,649.295
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.8
Pond5Fish6_PondTime,60.479
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,561
Pond5Fish6_TimeLeft,636.892
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,1.049
PondTime,60.503
TimeLeft,636.359
PondOutcome,66
TotalOutcome,561
PondStart,PondStart
PondIntroTime,13.064503851346672
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.074
Pond6Fish1_PondTime,7.846
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,572
Pond6Fish1_TimeLeft,614.817
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.089
Pond6Fish2_PondTime,13.966
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,583
Pond6Fish2_TimeLeft,608.697
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.971
Pond6Fish3_PondTime,20.355
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,594
Pond6Fish3_TimeLeft,602.308
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.754
Pond6Fish4_PondTime,27.045
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,605
Pond6Fish4_TimeLeft,595.618
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.577
Pond6Fish5_PondTime,34.07
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,616
Pond6Fish5_TimeLeft,588.593
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.968
