,5bfecff80ef0390001387cc2
Pond6Fish16_TimeLeft,248.096
Type,N
FishN,18
Fish,17
Pond6Fish17_FishType,green
Pond6Fish17_FishLatency,20
Pond6Fish17_CatchTime,-1
Pond6Fish17_PondTime,192.209
Pond6Fish17_PondOutcome,165
Pond6Fish17_TotalOutcome,484
Pond6Fish17_TimeLeft,215.667
Type,N
FishN,18
Fish,18
Pond6Fish18_FishType,green
Pond6Fish18_FishLatency,30
Pond6Fish18_CatchTime,1.12
Pond6Fish18_PondTime,254.577
Pond6Fish18_PondOutcome,176
Pond6Fish18_TotalOutcome,495
Pond6Fish18_TimeLeft,153.299
Type,N
FishN,18
Fish,19
Pond6Fish19_FishType,green
Pond6Fish19_FishLatency,60
Pond6Fish19_CatchTime,1.126
Pond6Fish19_PondTime,256.947
Pond6Fish19_PondOutcome,187
Pond6Fish19_TotalOutcome,506
Pond6Fish19_TimeLeft,150.929
