,5d3f63257e89a9000196f790
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,627
Pond2Fish9_TimeLeft,558.171
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,0.684
Pond2Fish10_PondTime,76.381
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,638
Pond2Fish10_TimeLeft,548.304
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,0.649
Pond2Fish11_PondTime,87.311
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,649
Pond2Fish11_TimeLeft,537.373
PondEnd_LastFish,11
FishN,18
Type,N
GiveUpTime,0.219
PondTime,98.746
TimeLeft,525.434
PondOutcome,121
TotalOutcome,649
PondStart,PondStart
PondIntroTime,16.812432680744678
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.569
Pond4Fish1_PondTime,7.617
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,660
Pond4Fish1_TimeLeft,500.373
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.076
Pond4Fish2_PondTime,13.503
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,671
Pond4Fish2_TimeLeft,494.487
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.618
Pond4Fish3_PondTime,19.616
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,682
Pond4Fish3_TimeLeft,488.374
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.509
Pond4Fish4_PondTime,25.982
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,693
Pond4Fish4_TimeLeft,482.008
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.554
Pond4Fish5_PondTime,32.631
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,704
Pond4Fish5_TimeLeft,475.359
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.579
Pond4Fish6_PondTime,39.614
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,715
Pond4Fish6_TimeLeft,468.376
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,0.675
Pond4Fish7_PondTime,46.983
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,726
Pond4Fish7_TimeLeft,461.007
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.564
Pond4Fish8_PondTime,54.797
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,737
Pond4Fish8_TimeLeft,453.193
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,0.58
Pond4Fish9_PondTime,63.165
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,748
Pond4Fish9_TimeLeft,444.825
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,0.524
Pond4Fish10_PondTime,72.197
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,759
Pond4Fish10_TimeLeft,435.793
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,0.539
Pond4Fish11_PondTime,82.061
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,770
Pond4Fish11_TimeLeft,425.929
PondEnd_LastFish,11
FishN,19
Type,N
GiveUpTime,0.291
PondTime,92.034
TimeLeft,415.453
PondOutcome,121
TotalOutcome,770
PondStart,PondStart
PondIntroTime,16.064973350148648
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.068
Pond11Fish1_PondTime,9.268
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,781
Pond11Fish1_TimeLeft,389.512
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,0.701
Pond11Fish2_PondTime,17.082
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,792
Pond11Fish2_TimeLeft,381.698
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,0.605
Pond11Fish3_PondTime,25.449
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,803
Pond11Fish3_TimeLeft,373.331
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,0.604
Pond11Fish4_PondTime,34.482
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,814
Pond11Fish4_TimeLeft,364.298
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,0.649
Pond11Fish5_PondTime,44.349
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,825
Pond11Fish5_TimeLeft,354.431
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,7.5
