,5d3f2ac26a5b1e0016a91a82
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.329
Pond8Fish1_PondTime,9.804
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,473
Pond8Fish1_TimeLeft,685.484
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.574
Pond8Fish2_PondTime,18.245
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,484
Pond8Fish2_TimeLeft,677.043
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.339
Pond8Fish3_PondTime,26.132
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,495
Pond8Fish3_TimeLeft,669.156
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.668
Pond8Fish4_PondTime,34.517
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,506
Pond8Fish4_TimeLeft,660.771
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.915
Pond8Fish5_PondTime,43.589
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,517
Pond8Fish5_TimeLeft,651.699
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.831
Pond8Fish6_PondTime,53.487
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,528
Pond8Fish6_TimeLeft,641.801
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.679
Pond8Fish7_PondTime,64.429
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,539
Pond8Fish7_TimeLeft,630.859
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,0.888
Pond8Fish8_PondTime,76.79
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,550
Pond8Fish8_TimeLeft,618.498
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,0.621
PondTime,90.749
TimeLeft,604.032
PondOutcome,88
TotalOutcome,550
PondStart,PondStart
PondIntroTime,12.43193262256682
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.76
Pond5Fish1_PondTime,8.292
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,561
Pond5Fish1_TimeLeft,582.674
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.524
Pond5Fish2_PondTime,14.944
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,572
Pond5Fish2_TimeLeft,576.022
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.861
Pond5Fish3_PondTime,21.916
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,583
Pond5Fish3_TimeLeft,569.049
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.777
Pond5Fish4_PondTime,29.288
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,594
Pond5Fish4_TimeLeft,561.678
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.026
Pond5Fish5_PondTime,37.107
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,605
Pond5Fish5_TimeLeft,553.859
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,0.952
Pond5Fish6_PondTime,45.476
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,616
Pond5Fish6_TimeLeft,545.49
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.77
Pond5Fish7_PondTime,54.601
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,627
Pond5Fish7_TimeLeft,536.365
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.05
Pond5Fish8_PondTime,64.461
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,638
