,5dcfc0deb2204f0c99f18f96
Pond4Fish4_TimeLeft,327.994
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.069
Pond4Fish5_PondTime,44.571
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,792
Pond4Fish5_TimeLeft,318.086
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.245
Pond4Fish6_PondTime,55.558
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,803
Pond4Fish6_TimeLeft,307.099
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.123
Pond4Fish7_PondTime,67.987
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,814
Pond4Fish7_TimeLeft,294.669
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.012
Pond4Fish8_PondTime,82.391
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,825
Pond4Fish8_TimeLeft,280.265
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,0.821
PondTime,82.42
TimeLeft,279.708
PondOutcome,88
TotalOutcome,825
PondStart,PondStart
PondIntroTime,12.670877915807068
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.044
Pond3Fish1_PondTime,8.959
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,836
Pond3Fish1_TimeLeft,257.418
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.053
Pond3Fish2_PondTime,16.381
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,847
Pond3Fish2_TimeLeft,249.995
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.014
Pond3Fish3_PondTime,24.245
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,858
Pond3Fish3_TimeLeft,242.13
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.061
Pond3Fish4_PondTime,32.651
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,869
Pond3Fish4_TimeLeft,233.726
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.103
Pond3Fish5_PondTime,41.731
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,880
Pond3Fish5_TimeLeft,224.646
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.976
Pond3Fish6_PondTime,51.639
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,891
Pond3Fish6_TimeLeft,214.738
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.986
Pond3Fish7_PondTime,62.612
