,5e209868a122c8000b7338ba
Pond3Fish4_CatchTime,1.656
Pond3Fish4_PondTime,26.973
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,506
Pond3Fish4_TimeLeft,673.555
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.202
Pond3Fish5_PondTime,33.977
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,517
Pond3Fish5_TimeLeft,666.551
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.612
Pond3Fish6_PondTime,41.359
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,528
Pond3Fish6_TimeLeft,659.169
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.204
Pond3Fish7_PondTime,49.189
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,539
Pond3Fish7_TimeLeft,651.339
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.312
Pond3Fish8_PondTime,57.558
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,550
Pond3Fish8_TimeLeft,642.969
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.361
Pond3Fish9_PondTime,66.6
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,561
Pond3Fish9_TimeLeft,633.928
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.121
Pond3Fish10_PondTime,76.476
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,572
Pond3Fish10_TimeLeft,624.052
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,0.938
Pond3Fish11_PondTime,87.417
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,583
Pond3Fish11_TimeLeft,613.111
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,0.8
Pond3Fish12_PondTime,99.802
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,594
Pond3Fish12_TimeLeft,600.726
Type,N
FishN,18
Fish,13
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,10
Pond3Fish13_CatchTime,0.998
Pond3Fish13_PondTime,114.174
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,605
Pond3Fish13_TimeLeft,586.354
PondEnd_LastFish,13
FishN,18
Type,N
