,5d7246eafae80f0018e17fea
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.458
Pond3Fish2_PondTime,18.102
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,704
Pond3Fish2_TimeLeft,504.09
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.3
Pond3Fish3_PondTime,27.129
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,715
Pond3Fish3_TimeLeft,495.063
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.507
Pond3Fish4_PondTime,36.993
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,726
Pond3Fish4_TimeLeft,485.199
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.303
Pond3Fish5_PondTime,47.924
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,737
Pond3Fish5_TimeLeft,474.268
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.471
Pond3Fish6_PondTime,60.291
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,748
Pond3Fish6_TimeLeft,461.9
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,1.476
PondTime,61.445
TimeLeft,460.245
PondOutcome,66
TotalOutcome,748
PondStart,PondStart
PondIntroTime,12.283941805362701
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.31
Pond9Fish1_PondTime,9.73
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,759
Pond9Fish1_TimeLeft,437.576
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.185
Pond9Fish2_PondTime,18.094
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,770
Pond9Fish2_TimeLeft,429.212
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.278
Pond9Fish3_PondTime,27.126
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,781
Pond9Fish3_TimeLeft,420.18
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.184
Pond9Fish4_PondTime,36.991
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,792
Pond9Fish4_TimeLeft,410.314
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.431
Pond9Fish5_PondTime,47.92
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,803
Pond9Fish5_TimeLeft,399.386
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.303
Pond9Fish6_PondTime,60.284
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,814
Pond9Fish6_TimeLeft,387.022
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.321
Pond9Fish7_PondTime,74.648
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,825
Pond9Fish7_TimeLeft,372.658
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.502
Pond9Fish8_PondTime,92.01
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,836
Pond9Fish8_TimeLeft,355.295
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,0.848
PondTime,92.573
TimeLeft,354.228
PondOutcome,88
TotalOutcome,836
PondStart,PondStart
PondIntroTime,14.90712030325085
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.041
Pond2Fish1_PondTime,8.281
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,847
Pond2Fish1_TimeLeft,330.402
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.244
Pond2Fish2_PondTime,14.929
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,858
Pond2Fish2_TimeLeft,323.754
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.23
Pond2Fish3_PondTime,21.911
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,869
Pond2Fish3_TimeLeft,316.772
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.918
