,5cd323f554644f00188d3f86
Pond10Fish8_TimeLeft,837.212
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.274
Pond10Fish9_PondTime,63.161
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,352
Pond10Fish9_TimeLeft,828.839
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.511
Pond10Fish10_PondTime,72.182
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,363
Pond10Fish10_TimeLeft,819.817
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.172
Pond10Fish11_PondTime,82.041
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,374
Pond10Fish11_TimeLeft,809.959
Type,N
FishN,17
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,1.182
Pond10Fish12_PondTime,93
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,385
Pond10Fish12_TimeLeft,799
Type,N
FishN,17
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,1.186
Pond10Fish13_PondTime,105.37
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,396
Pond10Fish13_TimeLeft,786.63
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,1.868
PondTime,106.632
TimeLeft,784.862
PondOutcome,143
TotalOutcome,396
PondStart,PondStart
PondIntroTime,14.577284180559218
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,1.497
Pond12Fish1_PondTime,7.61
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,407
Pond12Fish1_TimeLeft,762.038
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.263
Pond12Fish2_PondTime,13.503
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,418
Pond12Fish2_TimeLeft,756.145
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,1.186
Pond12Fish3_PondTime,19.619
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,429
Pond12Fish3_TimeLeft,750.028
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,1.056
Pond12Fish4_PondTime,25.992
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,440
Pond12Fish4_TimeLeft,743.656
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,1.097
Pond12Fish5_PondTime,32.635
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,451
Pond12Fish5_TimeLeft,737.013
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,1.164
Pond12Fish6_PondTime,39.614
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,462
