,5c890051146e370019e07384
Pond12Fish3_TimeLeft,483.353
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,1.149
Pond12Fish4_PondTime,26.964
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,671
Pond12Fish4_TimeLeft,476.681
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.188
Pond12Fish5_PondTime,33.945
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,682
Pond12Fish5_TimeLeft,469.7
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.496
Pond12Fish6_PondTime,41.317
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,693
Pond12Fish6_TimeLeft,462.328
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.938
Pond12Fish7_PondTime,49.137
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,704
Pond12Fish7_TimeLeft,454.508
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.926
Pond12Fish8_PondTime,57.507
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,715
Pond12Fish8_TimeLeft,446.138
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,1.016
Pond12Fish9_PondTime,66.537
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,726
Pond12Fish9_TimeLeft,437.108
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,0.84
Pond12Fish10_PondTime,76.402
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,737
Pond12Fish10_TimeLeft,427.243
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,1.11
Pond12Fish11_PondTime,87.364
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,748
Pond12Fish11_TimeLeft,416.281
Type,N
FishN,17
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,8.571428571428571
Pond12Fish12_CatchTime,-1
Pond12Fish12_PondTime,99.802
Pond12Fish12_PondOutcome,121
Pond12Fish12_TotalOutcome,748
Pond12Fish12_TimeLeft,403.843
PondEnd_LastFish,12
