,5c334030dd74dc0001e46725
Pond4Fish4_PondTime,29.273
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,825
Pond4Fish4_TimeLeft,288.439
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,1.447
Pond4Fish5_PondTime,37.084
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,836
Pond4Fish5_TimeLeft,280.628
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,1.412
Pond4Fish6_PondTime,45.467
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,847
Pond4Fish6_TimeLeft,272.245
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,-1
Pond4Fish7_PondTime,54.566
Pond4Fish7_PondOutcome,66
Pond4Fish7_TotalOutcome,847
Pond4Fish7_TimeLeft,263.146
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.606
Pond4Fish8_PondTime,64.453
Pond4Fish8_PondOutcome,77
Pond4Fish8_TotalOutcome,858
Pond4Fish8_TimeLeft,253.259
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,1.24
Pond4Fish9_PondTime,75.383
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,869
Pond4Fish9_TimeLeft,242.329
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,1.558
Pond4Fish10_PondTime,87.748
Pond4Fish10_PondOutcome,99
