,5dacaea50cd3ff0016e3f493
Pond9Fish2_CatchTime,0.884
Pond9Fish2_PondTime,15.536
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,572
Pond9Fish2_TimeLeft,540.744
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.894
Pond9Fish3_PondTime,22.903
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,583
Pond9Fish3_TimeLeft,533.377
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.664
Pond9Fish4_PondTime,30.718
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,594
Pond9Fish4_TimeLeft,525.562
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,-1
Pond9Fish5_PondTime,39.134
Pond9Fish5_PondOutcome,44
Pond9Fish5_TotalOutcome,594
Pond9Fish5_TimeLeft,517.146
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,-1
Pond9Fish6_PondTime,48.233
Pond9Fish6_PondOutcome,44
Pond9Fish6_TotalOutcome,594
Pond9Fish6_TimeLeft,508.047
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.96
Pond9Fish7_PondTime,58.102
Pond9Fish7_PondOutcome,55
Pond9Fish7_TotalOutcome,605
Pond9Fish7_TimeLeft,498.178
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.807
Pond9Fish8_PondTime,69.035
Pond9Fish8_PondOutcome,66
Pond9Fish8_TotalOutcome,616
Pond9Fish8_TimeLeft,487.245
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,0.862
Pond9Fish9_PondTime,81.402
Pond9Fish9_PondOutcome,77
Pond9Fish9_TotalOutcome,627
Pond9Fish9_TimeLeft,474.878
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.78
Pond9Fish10_PondTime,95.85
Pond9Fish10_PondOutcome,88
Pond9Fish10_TotalOutcome,638
Pond9Fish10_TimeLeft,460.43
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,0.834
Pond9Fish11_PondTime,113.218
Pond9Fish11_PondOutcome,99
Pond9Fish11_TotalOutcome,649
Pond9Fish11_TimeLeft,443.062
PondEnd_LastFish,11
FishN,15
Type,N
GiveUpTime,0.612
PondTime,135.261
TimeLeft,420.517
PondOutcome,99
TotalOutcome,649
PondStart,PondStart
PondIntroTime,12.333798729814589
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.788
Pond8Fish1_PondTime,9.282
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,660
Pond8Fish1_TimeLeft,397.33
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.638
Pond8Fish2_PondTime,17.098
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,671
Pond8Fish2_TimeLeft,389.514
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.918
Pond8Fish3_PondTime,25.467
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,682
Pond8Fish3_TimeLeft,381.145
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,6
