,5d1b2b80f18c6c00017deee4
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.887
Pond5Fish3_PondTime,27.155
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,407
Pond5Fish3_TimeLeft,777.303
PondEnd_LastFish,3
FishN,12
Type,N
GiveUpTime,0.752
PondTime,36.885
TimeLeft,767.069
PondOutcome,33
TotalOutcome,407
PondStart,PondStart
PondIntroTime,19.65547051280737
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.764
Pond10Fish1_PondTime,8.57
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,418
Pond10Fish1_TimeLeft,738.216
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,0.984
Pond10Fish2_PondTime,15.562
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,429
Pond10Fish2_TimeLeft,731.224
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.183
Pond10Fish3_PondTime,22.941
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,440
Pond10Fish3_TimeLeft,723.845
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.108
Pond10Fish4_PondTime,30.763
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,451
Pond10Fish4_TimeLeft,716.023
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.196
Pond10Fish5_PondTime,39.136
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,462
Pond10Fish5_TimeLeft,707.65
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,1.057
Pond10Fish6_PondTime,48.174
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,473
Pond10Fish6_TimeLeft,698.612
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,1.024
Pond10Fish7_PondTime,58.034
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,484
Pond10Fish7_TimeLeft,688.752
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.533
Pond10Fish8_PondTime,68.982
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,495
Pond10Fish8_TimeLeft,677.803
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.289
Pond10Fish9_PondTime,81.35
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,506
Pond10Fish9_TimeLeft,665.436
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,1.74
PondTime,82.591
TimeLeft,663.692
PondOutcome,99
TotalOutcome,506
PondStart,PondStart
PondIntroTime,16.955694353673607
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.239
Pond2Fish1_PondTime,8.281
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,517
Pond2Fish1_TimeLeft,637.833
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.026
Pond2Fish2_PondTime,14.942
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,528
Pond2Fish2_TimeLeft,631.172
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.059
Pond2Fish3_PondTime,21.927
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,539
Pond2Fish3_TimeLeft,624.187
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.46
Pond2Fish4_PondTime,29.305
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,550
Pond2Fish4_TimeLeft,616.809
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.363
Pond2Fish5_PondTime,37.127
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,561
Pond2Fish5_TimeLeft,608.987
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.273
Pond2Fish6_PondTime,45.484
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,572
Pond2Fish6_TimeLeft,600.63
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.062
Pond2Fish7_PondTime,54.53
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,583
Pond2Fish7_TimeLeft,591.584
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.613
Pond2Fish8_PondTime,64.406
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,594
Pond2Fish8_TimeLeft,581.708
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.29
Pond2Fish9_PondTime,75.347
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,605
Pond2Fish9_TimeLeft,570.767
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,1.216
Pond2Fish10_PondTime,87.716
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,616
Pond2Fish10_TimeLeft,558.398
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,0.692
PondTime,87.824
TimeLeft,557.787
PondOutcome,110
TotalOutcome,616
PondStart,PondStart
PondIntroTime,14.969136144500226
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.315
Pond3Fish1_PondTime,8.909
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,627
Pond3Fish1_TimeLeft,533.295
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.282
Pond3Fish2_PondTime,16.299
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,638
Pond3Fish2_TimeLeft,525.905
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.049
Pond3Fish3_PondTime,24.138
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,649
Pond3Fish3_TimeLeft,518.066
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.057
Pond3Fish4_PondTime,32.521
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,660
Pond3Fish4_TimeLeft,509.683
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.923
Pond3Fish5_PondTime,41.567
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,671
Pond3Fish5_TimeLeft,500.637
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.418
Pond3Fish6_PondTime,51.45
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,682
Pond3Fish6_TimeLeft,490.754
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,0.712
PondTime,51.783
TimeLeft,489.918
PondOutcome,66
TotalOutcome,682
PondStart,PondStart
PondIntroTime,10.411893611308187
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,1.113
Pond7Fish1_PondTime,8.575
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,693
Pond7Fish1_TimeLeft,470.309
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.352
Pond7Fish2_PondTime,15.581
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,704
Pond7Fish2_TimeLeft,463.303
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,1.261
Pond7Fish3_PondTime,22.959
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,715
Pond7Fish3_TimeLeft,455.925
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,1.11
Pond7Fish4_PondTime,30.786
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,726
Pond7Fish4_TimeLeft,448.098
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.993
Pond7Fish5_PondTime,39.161
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,737
Pond7Fish5_TimeLeft,439.723
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,1.509
Pond7Fish6_PondTime,48.213
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,748
Pond7Fish6_TimeLeft,430.671
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,1.207
Pond7Fish7_PondTime,58.095
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,759
Pond7Fish7_TimeLeft,420.789
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,1.05
Pond7Fish8_PondTime,69.033
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,770
Pond7Fish8_TimeLeft,409.851
PondEnd_LastFish,8
FishN,15
Type,N
GiveUpTime,0.985
PondTime,69.271
TimeLeft,409.11
PondOutcome,88
TotalOutcome,770
PondStart,PondStart
PondIntroTime,10.04581328947097
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.165
Pond11Fish1_PondTime,9.276
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,781
Pond11Fish1_TimeLeft,389.156
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.028
Pond11Fish2_PondTime,17.106
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,792
Pond11Fish2_TimeLeft,381.326
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.019
Pond11Fish3_PondTime,25.489
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,803
Pond11Fish3_TimeLeft,372.943
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,0.835
Pond11Fish4_PondTime,34.532
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,814
Pond11Fish4_TimeLeft,363.9
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.087
Pond11Fish5_PondTime,44.416
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,825
Pond11Fish5_TimeLeft,354.016
PondEnd_LastFish,5
FishN,13
Type,N
GiveUpTime,0.786
PondTime,44.488
TimeLeft,353.441
PondOutcome,55
TotalOutcome,825
PondStart,PondStart
PondIntroTime,17.62849356047809
Type,N
FishN,17
Fish,1
