,5cddb06d025b0b001ce92176
PondStart,PondStart
PondIntroTime,13.266327402088791
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.921
Pond4Fish1_PondTime,7.616
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,649
Pond4Fish1_TimeLeft,507.951
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.353
Pond4Fish2_PondTime,13.521
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,660
Pond4Fish2_TimeLeft,502.045
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.328
Pond4Fish3_PondTime,19.63
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,671
Pond4Fish3_TimeLeft,495.937
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.294
Pond4Fish4_PondTime,26
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,682
Pond4Fish4_TimeLeft,489.567
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.562
Pond4Fish5_PondTime,32.647
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,693
Pond4Fish5_TimeLeft,482.92
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.303
Pond4Fish6_PondTime,39.635
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,704
Pond4Fish6_TimeLeft,475.932
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.048
Pond4Fish7_PondTime,46.999
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,715
Pond4Fish7_TimeLeft,468.568
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,1.272
Pond4Fish8_PondTime,54.845
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,726
Pond4Fish8_TimeLeft,460.722
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,0.916
Pond4Fish9_PondTime,63.212
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,737
Pond4Fish9_TimeLeft,452.355
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,1.254
Pond4Fish10_PondTime,72.259
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,748
Pond4Fish10_TimeLeft,443.308
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,6.666666666666667
Pond4Fish11_CatchTime,1.342
Pond4Fish11_PondTime,82.139
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,759
Pond4Fish11_TimeLeft,433.428
Type,N
FishN,19
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,7.5
Pond4Fish12_CatchTime,1.385
Pond4Fish12_PondTime,93.081
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,770
Pond4Fish12_TimeLeft,422.486
Type,N
FishN,19
Fish,13
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,8.571428571428571
Pond4Fish13_CatchTime,1.293
Pond4Fish13_PondTime,105.443
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,781
