,5dc2c8cc9be08f1e3be48352
Pond3Fish5_TotalOutcome,374
Pond3Fish5_TimeLeft,747.71
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,1.021
Pond3Fish6_PondTime,43.239
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,385
Pond3Fish6_TimeLeft,739.886
PondEnd_LastFish,6
FishN,17
Type,N
GiveUpTime,0.42
PondTime,51.342
TimeLeft,731.274
PondOutcome,66
TotalOutcome,385
PondStart,PondStart
PondIntroTime,16.970599971245974
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.235
Pond9Fish1_PondTime,8.277
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,396
Pond9Fish1_TimeLeft,705.387
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.029
Pond9Fish2_PondTime,14.947
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,407
Pond9Fish2_TimeLeft,698.717
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,1.129
Pond9Fish3_PondTime,21.942
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,418
Pond9Fish3_TimeLeft,691.722
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.065
Pond9Fish4_PondTime,29.326
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,429
Pond9Fish4_TimeLeft,684.338
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,0.979
Pond9Fish5_PondTime,37.188
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,440
Pond9Fish5_TimeLeft,676.476
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.068
Pond9Fish6_PondTime,45.57
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,451
Pond9Fish6_TimeLeft,668.094
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,0.973
Pond9Fish7_PondTime,54.619
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,462
Pond9Fish7_TimeLeft,659.045
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,0.995
Pond9Fish8_PondTime,64.494
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,473
Pond9Fish8_TimeLeft,649.17
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,0.946
Pond9Fish9_PondTime,75.462
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,484
Pond9Fish9_TimeLeft,638.202
PondEnd_LastFish,9
FishN,16
Type,N
GiveUpTime,0.467
PondTime,87.442
TimeLeft,625.712
PondOutcome,99
TotalOutcome,484
PondStart,PondStart
PondIntroTime,17.464138586074114
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.985
Pond11Fish1_PondTime,7.813
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,495
Pond11Fish1_TimeLeft,599.782
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.027
Pond11Fish2_PondTime,13.929
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,506
Pond11Fish2_TimeLeft,593.666
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.794
Pond11Fish3_PondTime,20.289
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,517
Pond11Fish3_TimeLeft,587.306
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.029
Pond11Fish4_PondTime,26.957
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,528
Pond11Fish4_TimeLeft,580.638
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.801
Pond11Fish5_PondTime,33.952
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,539
Pond11Fish5_TimeLeft,573.643
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.811
Pond11Fish6_PondTime,41.326
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,550
Pond11Fish6_TimeLeft,566.269
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.914
Pond11Fish7_PondTime,49.136
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,561
Pond11Fish7_TimeLeft,558.459
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.116
Pond11Fish8_PondTime,57.516
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,572
Pond11Fish8_TimeLeft,550.078
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.002
Pond11Fish9_PondTime,66.562
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,583
Pond11Fish9_TimeLeft,541.033
Type,N
FishN,16
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,0.876
Pond11Fish10_PondTime,76.44
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,594
Pond11Fish10_TimeLeft,531.155
Type,N
FishN,16
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,1.048
Pond11Fish11_PondTime,87.387
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,605
Pond11Fish11_TimeLeft,520.208
Type,N
FishN,16
Fish,12
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,0.99
Pond11Fish12_PondTime,99.759
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,616
Pond11Fish12_TimeLeft,507.836
PondEnd_LastFish,12
FishN,18
Type,N
GiveUpTime,2.657
PondTime,101.612
TimeLeft,505.477
PondOutcome,132
TotalOutcome,616
PondStart,PondStart
PondIntroTime,15.181218751240522
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,0.921
Pond12Fish1_PondTime,7.628
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,627
Pond12Fish1_TimeLeft,482.02
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,0.96
Pond12Fish2_PondTime,13.521
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,638
Pond12Fish2_TimeLeft,476.127
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.894
Pond12Fish3_PondTime,19.635
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,649
Pond12Fish3_TimeLeft,470.013
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,0.917
Pond12Fish4_PondTime,26.013
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,660
Pond12Fish4_TimeLeft,463.635
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,0.925
Pond12Fish5_PondTime,32.675
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,671
Pond12Fish5_TimeLeft,456.973
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,0.845
Pond12Fish6_PondTime,39.666
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,682
Pond12Fish6_TimeLeft,449.982
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,0.914
Pond12Fish7_PondTime,47.045
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,693
Pond12Fish7_TimeLeft,442.603
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,0.926
Pond12Fish8_PondTime,54.874
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,704
Pond12Fish8_TimeLeft,434.774
PondEnd_LastFish,8
FishN,19
Type,N
GiveUpTime,0.486
PondTime,62.787
TimeLeft,426.357
PondOutcome,88
TotalOutcome,704
PondStart,PondStart
PondIntroTime,17.492511903401464
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,0.845
Pond7Fish1_PondTime,8.569
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,715
Pond7Fish1_TimeLeft,399.644
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.073
Pond7Fish2_PondTime,15.556
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,726
Pond7Fish2_TimeLeft,392.657
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,1.063
Pond7Fish3_PondTime,22.924
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,737
Pond7Fish3_TimeLeft,385.289
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,1.099
Pond7Fish4_PondTime,30.753
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,748
Pond7Fish4_TimeLeft,377.46
Type,N
FishN,15
Fish,5
