,5b7e344a818ce60001ce18cf
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,-1
Pond6Fish12_PondTime,100.011
Pond6Fish12_PondOutcome,99
Pond6Fish12_TotalOutcome,286
Pond6Fish12_TimeLeft,855.181
Type,N
FishN,18
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.388
Pond6Fish13_PondTime,114.37
Pond6Fish13_PondOutcome,110
Pond6Fish13_TotalOutcome,297
Pond6Fish13_TimeLeft,840.821
Type,N
FishN,18
Fish,14
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,-1
Pond6Fish14_PondTime,131.826
Pond6Fish14_PondOutcome,110
Pond6Fish14_TotalOutcome,297
Pond6Fish14_TimeLeft,823.366
