,5ccffd21b09ec90001f3f92e
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.319
Pond8Fish9_PondTime,75.714
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,748
Pond8Fish9_TimeLeft,353.359
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,1.331
Pond8Fish10_PondTime,88.119
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,759
Pond8Fish10_TimeLeft,340.953
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,1.717
Pond8Fish11_PondTime,102.543
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,770
Pond8Fish11_TimeLeft,326.53
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,1.404
PondTime,103.833
TimeLeft,324.736
PondOutcome,121
TotalOutcome,770
PondStart,PondStart
PondIntroTime,11.038960798177868
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,1.045
Pond12Fish1_PondTime,7.642
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,781
Pond12Fish1_TimeLeft,305.43
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.203
Pond12Fish2_PondTime,13.549
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,792
Pond12Fish2_TimeLeft,299.523
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,1.17
Pond12Fish3_PondTime,19.715
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,803
Pond12Fish3_TimeLeft,293.357
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,1.185
Pond12Fish4_PondTime,26.117
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,814
Pond12Fish4_TimeLeft,286.955
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,1.179
Pond12Fish5_PondTime,32.819
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,825
Pond12Fish5_TimeLeft,280.253
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,1.126
Pond12Fish6_PondTime,39.888
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,836
Pond12Fish6_TimeLeft,273.184
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,1.366
Pond12Fish7_PondTime,47.327
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,847
Pond12Fish7_TimeLeft,265.745
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,1.435
Pond12Fish8_PondTime,55.177
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,858
Pond12Fish8_TimeLeft,257.895
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,1.226
Pond12Fish9_PondTime,63.612
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,869
Pond12Fish9_TimeLeft,249.46
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,1.371
Pond12Fish10_PondTime,72.723
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,880
Pond12Fish10_TimeLeft,240.349
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
