,5dcee15fa6438002940762a7
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,484
Pond3Fish5_TimeLeft,679.741
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,0.777
Pond3Fish6_PondTime,55.291
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,495
Pond3Fish6_TimeLeft,668.807
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,0.907
Pond3Fish7_PondTime,67.657
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,506
Pond3Fish7_TimeLeft,656.441
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,0.885
Pond3Fish8_PondTime,82.024
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,517
Pond3Fish8_TimeLeft,642.074
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,0.861
Pond3Fish9_PondTime,99.392
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,528
Pond3Fish9_TimeLeft,624.706
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,1.046
PondTime,99.502
TimeLeft,624.094
PondOutcome,99
TotalOutcome,528
PondStart,PondStart
PondIntroTime,19.609922224190086
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.992
Pond2Fish1_PondTime,9.282
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,539
Pond2Fish1_TimeLeft,594.591
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,0.847
Pond2Fish2_PondTime,17.099
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,550
Pond2Fish2_TimeLeft,586.774
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.944
Pond2Fish3_PondTime,25.466
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,561
Pond2Fish3_TimeLeft,578.407
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,0.974
Pond2Fish4_PondTime,34.499
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,572
Pond2Fish4_TimeLeft,569.374
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,0.869
Pond2Fish5_PondTime,44.366
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,583
Pond2Fish5_TimeLeft,559.507
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.976
Pond2Fish6_PondTime,55.298
