,5c1add5a3b09a900014c74e5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,1.101
Pond7Fish5_PondTime,39.18
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,770
Pond7Fish5_TimeLeft,391.927
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.81
Pond7Fish6_PondTime,48.213
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,781
Pond7Fish6_TimeLeft,382.894
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,1.029
Pond7Fish7_PondTime,58.096
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,792
Pond7Fish7_TimeLeft,373.011
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,0.935
Pond7Fish8_PondTime,69.046
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,803
Pond7Fish8_TimeLeft,362.061
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,8.571428571428571
Pond7Fish9_CatchTime,1.094
Pond7Fish9_PondTime,81.41
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,814
Pond7Fish9_TimeLeft,349.697
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,1.021
Pond7Fish10_PondTime,95.777
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,825
Pond7Fish10_TimeLeft,335.33
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,12
Pond7Fish11_CatchTime,1.091
Pond7Fish11_PondTime,113.144
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,836
Pond7Fish11_TimeLeft,317.963
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,15
Pond7Fish12_CatchTime,0.893
Pond7Fish12_PondTime,135.503
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,847
Pond7Fish12_TimeLeft,295.604
Type,N
FishN,15
Fish,13
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,20
Pond7Fish13_CatchTime,1
Pond7Fish13_PondTime,167.888
Pond7Fish13_PondOutcome,143
Pond7Fish13_TotalOutcome,858
Pond7Fish13_TimeLeft,263.219
PondEnd_LastFish,13
FishN,15
Type,N
GiveUpTime,0.92
PondTime,168.021
TimeLeft,262.582
PondOutcome,143
TotalOutcome,858
PondStart,PondStart
PondIntroTime,11.39325181953609
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.934
Pond10Fish1_PondTime,9.981
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,869
Pond10Fish1_TimeLeft,240.59
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.923
Pond10Fish2_PondTime,18.366
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,880
Pond10Fish2_TimeLeft,232.205
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.186
Pond10Fish3_PondTime,27.414
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,891
Pond10Fish3_TimeLeft,223.157
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.8
Pond10Fish4_PondTime,37.412
