,5c6eddd631a6c600011029ba
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.123
Pond12Fish8_PondTime,64.593
Pond12Fish8_PondOutcome,66
Pond12Fish8_TotalOutcome,517
Pond12Fish8_TimeLeft,587.772
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.007
Pond12Fish9_PondTime,75.526
Pond12Fish9_PondOutcome,77
Pond12Fish9_TotalOutcome,528
Pond12Fish9_TimeLeft,576.84
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.035
Pond12Fish10_PondTime,87.898
Pond12Fish10_PondOutcome,88
Pond12Fish10_TotalOutcome,539
Pond12Fish10_TimeLeft,564.468
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.073
Pond12Fish11_PondTime,102.26
Pond12Fish11_PondOutcome,99
Pond12Fish11_TotalOutcome,550
Pond12Fish11_TimeLeft,550.106
Type,N
FishN,17
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,-1
Pond12Fish12_PondTime,119.673
Pond12Fish12_PondOutcome,99
Pond12Fish12_TotalOutcome,550
Pond12Fish12_TimeLeft,532.693
Type,N
FishN,17
Fish,13
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,15
Pond12Fish13_CatchTime,0.9
Pond12Fish13_PondTime,142.039
Pond12Fish13_PondOutcome,110
Pond12Fish13_TotalOutcome,561
Pond12Fish13_TimeLeft,510.327
PondEnd_LastFish,13
FishN,16
Type,N
GiveUpTime,1.524
PondTime,142.678
TimeLeft,509.186
PondOutcome,110
TotalOutcome,561
PondStart,PondStart
PondIntroTime,12.05887955846265
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,9.797
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,561
Pond2Fish1_TimeLeft,486.712
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.702
Pond2Fish2_PondTime,18.182
Pond2Fish2_PondOutcome,11
Pond2Fish2_TotalOutcome,572
Pond2Fish2_TimeLeft,478.327
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.996
Pond2Fish3_PondTime,27.214
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,583
Pond2Fish3_TimeLeft,469.295
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.762
Pond2Fish4_PondTime,37.082
Pond2Fish4_PondOutcome,33
Pond2Fish4_TotalOutcome,594
Pond2Fish4_TimeLeft,459.427
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.684
Pond2Fish5_PondTime,48.015
Pond2Fish5_PondOutcome,44
Pond2Fish5_TotalOutcome,605
Pond2Fish5_TimeLeft,448.494
PondEnd_LastFish,5
FishN,12
Type,N
GiveUpTime,0.606
PondTime,60.117
TimeLeft,435.889
PondOutcome,44
TotalOutcome,605
PondStart,PondStart
PondIntroTime,19.302480828482658
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.012
Pond3Fish1_PondTime,7.612
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,616
Pond3Fish1_TimeLeft,408.35
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.91
Pond3Fish2_PondTime,13.498
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,627
Pond3Fish2_TimeLeft,402.464
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.658
Pond3Fish3_PondTime,19.615
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,638
Pond3Fish3_TimeLeft,396.347
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.812
Pond3Fish4_PondTime,25.982
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,649
Pond3Fish4_TimeLeft,389.98
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.835
Pond3Fish5_PondTime,32.629
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,660
Pond3Fish5_TimeLeft,383.333
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.83
Pond3Fish6_PondTime,39.62
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,671
Pond3Fish6_TimeLeft,376.341
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.795
Pond3Fish7_PondTime,46.998
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,682
Pond3Fish7_TimeLeft,368.964
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.859
Pond3Fish8_PondTime,54.815
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,693
Pond3Fish8_TimeLeft,361.147
PondEnd_LastFish,8
FishN,19
Type,N
GiveUpTime,0.368
PondTime,62.627
TimeLeft,352.832
PondOutcome,88
TotalOutcome,693
PondStart,PondStart
PondIntroTime,11.49521243525669
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.155
Pond9Fish1_PondTime,8.016
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,704
Pond9Fish1_TimeLeft,332.685
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.061
Pond9Fish2_PondTime,14.383
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,715
Pond9Fish2_TimeLeft,326.318
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.98
Pond9Fish3_PondTime,21.032
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,726
Pond9Fish3_TimeLeft,319.669
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.717
Pond9Fish4_PondTime,28.014
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,737
Pond9Fish4_TimeLeft,312.687
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.729
Pond9Fish5_PondTime,35.381
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,748
Pond9Fish5_TimeLeft,305.319
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.878
Pond9Fish6_PondTime,43.199
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,759
Pond9Fish6_TimeLeft,297.502
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.574
Pond9Fish7_PondTime,51.588
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,770
Pond9Fish7_TimeLeft,289.113
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.112
Pond9Fish8_PondTime,60.612
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,781
Pond9Fish8_TimeLeft,280.089
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,0.836
Pond9Fish9_PondTime,70.479
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,792
Pond9Fish9_TimeLeft,270.222
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,0.847
Pond9Fish10_PondTime,81.414
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,803
Pond9Fish10_TimeLeft,259.287
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,0.799
Pond9Fish11_PondTime,93.78
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,814
Pond9Fish11_TimeLeft,246.921
Type,N
FishN,15
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,1.123
Pond9Fish12_PondTime,108.145
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,825
Pond9Fish12_TimeLeft,232.556
PondEnd_LastFish,12
FishN,17
Type,N
GiveUpTime,0.46
PondTime,125.117
TimeLeft,215.081
PondOutcome,132
TotalOutcome,825
PondStart,PondStart
PondIntroTime,10.187022017780691
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,0.837
Pond6Fish1_PondTime,9.732
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,836
Pond6Fish1_TimeLeft,194.525
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.408
Pond6Fish2_PondTime,18.13
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,847
Pond6Fish2_TimeLeft,186.128
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.131
Pond6Fish3_PondTime,27.215
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,858
Pond6Fish3_TimeLeft,177.043
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.095
Pond6Fish4_PondTime,37.085
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,869
Pond6Fish4_TimeLeft,167.173
Type,N
FishN,18
Fish,5
