,5c07f9ce7ce1dd0001a4efec
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.314
Pond10Fish5_PondTime,39.167
Pond10Fish5_PondOutcome,44
Pond10Fish5_TotalOutcome,418
Pond10Fish5_TimeLeft,791.548
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,0.771
Pond10Fish6_PondTime,48.191
Pond10Fish6_PondOutcome,55
Pond10Fish6_TotalOutcome,429
Pond10Fish6_TimeLeft,782.524
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.945
Pond10Fish7_PondTime,58.048
Pond10Fish7_PondOutcome,66
Pond10Fish7_TotalOutcome,440
Pond10Fish7_TimeLeft,772.667
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,0.95
Pond10Fish8_PondTime,68.988
Pond10Fish8_PondOutcome,77
Pond10Fish8_TotalOutcome,451
Pond10Fish8_TimeLeft,761.727
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.108
Pond10Fish9_PondTime,81.344
Pond10Fish9_PondOutcome,88
Pond10Fish9_TotalOutcome,462
Pond10Fish9_TimeLeft,749.371
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,0.921
Pond10Fish10_PondTime,95.713
Pond10Fish10_PondOutcome,99
Pond10Fish10_TotalOutcome,473
Pond10Fish10_TimeLeft,735.002
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,0.947
Pond10Fish11_PondTime,113.081
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,484
Pond10Fish11_TimeLeft,717.634
PondEnd_LastFish,11
FishN,15
Type,N
GiveUpTime,0.573
PondTime,135.229
TimeLeft,694.983
PondOutcome,110
TotalOutcome,484
PondStart,PondStart
PondIntroTime,12.519862628541887
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.615384615384615
