,5c1522f64c29140001cdad7e
Pond1Fish8_TotalOutcome,770
Pond1Fish8_TimeLeft,412.797
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.752
Pond1Fish9_PondTime,66.552
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,781
Pond1Fish9_TimeLeft,403.702
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.093
Pond1Fish10_PondTime,76.415
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,792
Pond1Fish10_TimeLeft,393.839
PondEnd_LastFish,10
FishN,18
Type,N
GiveUpTime,0.734
PondTime,76.448
TimeLeft,393.304
PondOutcome,110
TotalOutcome,792
PondStart,PondStart
PondIntroTime,14.496743651106954
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.886
Pond5Fish1_PondTime,8.284
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,803
Pond5Fish1_TimeLeft,369.894
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.98
Pond5Fish2_PondTime,14.934
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,814
Pond5Fish2_TimeLeft,363.243
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.232
Pond5Fish3_PondTime,21.915
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,825
Pond5Fish3_TimeLeft,356.263
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,1.034
Pond5Fish4_PondTime,29.277
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,836
Pond5Fish4_TimeLeft,348.901
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.916
Pond5Fish5_PondTime,37.094
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,847
Pond5Fish5_TimeLeft,341.084
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,0.879
Pond5Fish6_PondTime,45.46
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,858
Pond5Fish6_TimeLeft,332.717
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.001
Pond5Fish7_PondTime,54.489
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,869
Pond5Fish7_TimeLeft,323.689
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.231
Pond5Fish8_PondTime,64.355
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,880
Pond5Fish8_TimeLeft,313.823
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,1.677
Pond5Fish9_PondTime,75.284
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,891
Pond5Fish9_TimeLeft,302.894
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,1.209
Pond5Fish10_PondTime,87.648
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,902
Pond5Fish10_TimeLeft,290.53
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,0.659
PondTime,101.787
TimeLeft,275.886
PondOutcome,110
TotalOutcome,902
PondStart,PondStart
PondIntroTime,19.529599614907056
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.979
