,5c33821f6f160f00013489cb
Pond1Fish14_CatchTime,1.215
Pond1Fish14_PondTime,174.482
Pond1Fish14_PondOutcome,154
Pond1Fish14_TotalOutcome,528
Pond1Fish14_TimeLeft,458.279
PondEnd_LastFish,14
FishN,16
Type,N
GiveUpTime,28.606
PondTime,202.507
TimeLeft,429.749
PondOutcome,154
TotalOutcome,528
PondStart,PondStart
PondIntroTime,11.323009873740375
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,1.264
Pond5Fish1_PondTime,8.34
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,539
Pond5Fish1_TimeLeft,409.466
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,1.202
Pond5Fish2_PondTime,15.027
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,550
Pond5Fish2_TimeLeft,402.779
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.596
Pond5Fish3_PondTime,22.042
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,561
Pond5Fish3_TimeLeft,395.764
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.978
Pond5Fish4_PondTime,29.411
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,572
Pond5Fish4_TimeLeft,388.395
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.005
Pond5Fish5_PondTime,37.249
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,583
Pond5Fish5_TimeLeft,380.556
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.2
Pond5Fish6_PondTime,45.613
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,594
Pond5Fish6_TimeLeft,372.193
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.224
Pond5Fish7_PondTime,54.636
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,605
Pond5Fish7_TimeLeft,363.169
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.135
Pond5Fish8_PondTime,64.501
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,616
Pond5Fish8_TimeLeft,353.304
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.964
Pond5Fish9_PondTime,75.432
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,627
Pond5Fish9_TimeLeft,342.374
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.974
Pond5Fish10_PondTime,87.832
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,638
Pond5Fish10_TimeLeft,329.974
Type,N
FishN,18
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,-1
Pond5Fish11_PondTime,102.261
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,638
Pond5Fish11_TimeLeft,315.545
Type,N
FishN,18
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.235
Pond5Fish12_PondTime,119.627
Pond5Fish12_PondOutcome,121
Pond5Fish12_TotalOutcome,649
Pond5Fish12_TimeLeft,298.179
Type,N
FishN,18
Fish,13
Pond5Fish13_FishType,green
Pond5Fish13_FishLatency,15
Pond5Fish13_CatchTime,1.764
Pond5Fish13_PondTime,142.093
Pond5Fish13_PondOutcome,132
Pond5Fish13_TotalOutcome,660
Pond5Fish13_TimeLeft,275.712
Type,N
FishN,18
Fish,14
Pond5Fish14_FishType,green
Pond5Fish14_FishLatency,20
Pond5Fish14_CatchTime,-1
Pond5Fish14_PondTime,174.549
Pond5Fish14_PondOutcome,132
Pond5Fish14_TotalOutcome,660
Pond5Fish14_TimeLeft,243.257
PondEnd_LastFish,14
FishN,16
Type,N
GiveUpTime,64.096
PondTime,206.088
TimeLeft,211.215
PondOutcome,132
TotalOutcome,660
PondStart,PondStart
PondIntroTime,12.397493910975754
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,-1
Pond12Fish1_PondTime,9.378
Pond12Fish1_PondOutcome,0
Pond12Fish1_TotalOutcome,660
Pond12Fish1_TimeLeft,188.812
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.236
Pond12Fish2_PondTime,17.203
Pond12Fish2_PondOutcome,11
Pond12Fish2_TotalOutcome,671
Pond12Fish2_TimeLeft,180.987
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.936
Pond12Fish3_PondTime,25.575
Pond12Fish3_PondOutcome,22
Pond12Fish3_TotalOutcome,682
Pond12Fish3_TimeLeft,172.615
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.185
Pond12Fish4_PondTime,34.629
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,693
Pond12Fish4_TimeLeft,163.561
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
