,5e208aa1e87b8e000b43675d
Pond11Fish1_TotalOutcome,451
Pond11Fish1_TimeLeft,730.238
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.432
Pond11Fish2_PondTime,14.4
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,462
Pond11Fish2_TimeLeft,723.871
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.837
Pond11Fish3_PondTime,21.049
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,473
Pond11Fish3_TimeLeft,717.222
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.744
Pond11Fish4_PondTime,28.033
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,484
Pond11Fish4_TimeLeft,710.238
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.692
Pond11Fish5_PondTime,35.4
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,495
Pond11Fish5_TimeLeft,702.871
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.823
Pond11Fish6_PondTime,43.218
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,506
Pond11Fish6_TimeLeft,695.053
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.783
Pond11Fish7_PondTime,51.584
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,517
Pond11Fish7_TimeLeft,686.687
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.793
Pond11Fish8_PondTime,60.616
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,528
Pond11Fish8_TimeLeft,677.655
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.728
Pond11Fish9_PondTime,70.483
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,539
Pond11Fish9_TimeLeft,667.788
PondEnd_LastFish,9
FishN,17
Type,N
GiveUpTime,0.576
PondTime,80.977
TimeLeft,656.793
PondOutcome,99
TotalOutcome,539
PondStart,PondStart
PondIntroTime,16.92954370751977
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.749
Pond12Fish1_PondTime,7.799
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,550
Pond12Fish1_TimeLeft,631.454
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.883
Pond12Fish2_PondTime,13.917
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,561
Pond12Fish2_TimeLeft,625.336
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.702
Pond12Fish3_PondTime,20.281
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,572
Pond12Fish3_TimeLeft,618.972
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,0.764
Pond12Fish4_PondTime,26.933
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,583
Pond12Fish4_TimeLeft,612.32
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,0.837
Pond12Fish5_PondTime,33.917
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,594
Pond12Fish5_TimeLeft,605.336
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
