,czujsn
Pond10Fish9_TimeLeft,561.474
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.443
PondTime,146.42
TimeLeft,528.949
PondOutcome,99
TotalOutcome,583
PondStart,PondStart
PondIntroTime,13.936223417986184
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.732
Pond9Fish1_PondTime,8.566
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,594
Pond9Fish1_TimeLeft,505.827
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.705
Pond9Fish2_PondTime,15.55
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,605
Pond9Fish2_TimeLeft,498.843
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.749
Pond9Fish3_PondTime,22.918
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,616
Pond9Fish3_TimeLeft,491.475
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.819
Pond9Fish4_PondTime,30.733
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,627
Pond9Fish4_TimeLeft,483.66
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.798
Pond9Fish5_PondTime,39.099
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,638
Pond9Fish5_TimeLeft,475.294
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.046
Pond9Fish6_PondTime,48.131
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,649
Pond9Fish6_TimeLeft,466.262
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.76
Pond9Fish7_PondTime,57.997
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,660
Pond9Fish7_TimeLeft,456.396
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.97
Pond9Fish8_PondTime,68.93
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,671
Pond9Fish8_TimeLeft,445.462
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1
Pond9Fish9_PondTime,81.298
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,682
Pond9Fish9_TimeLeft,433.095
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.098
Pond9Fish10_PondTime,95.663
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,693
Pond9Fish10_TimeLeft,418.73
PondEnd_LastFish,10
FishN,15
Type,N
GiveUpTime,0.445
PondTime,112.591
TimeLeft,401.3
PondOutcome,110
TotalOutcome,693
PondStart,PondStart
PondIntroTime,18.48164349095896
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.719
Pond6Fish1_PondTime,7.6
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,704
Pond6Fish1_TimeLeft,374.597
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.539
Pond6Fish2_PondTime,13.483
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,715
Pond6Fish2_TimeLeft,368.714
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.788
Pond6Fish3_PondTime,19.6
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,726
Pond6Fish3_TimeLeft,362.596
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.791
Pond6Fish4_PondTime,25.965
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,737
Pond6Fish4_TimeLeft,356.232
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.348
Pond6Fish5_PondTime,32.616
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,748
Pond6Fish5_TimeLeft,349.581
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.875
Pond6Fish6_PondTime,39.599
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,759
Pond6Fish6_TimeLeft,342.598
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.046
Pond6Fish7_PondTime,46.965
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,770
Pond6Fish7_TimeLeft,335.232
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,0.794
Pond6Fish8_PondTime,54.782
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,781
Pond6Fish8_TimeLeft,327.415
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,0.867
Pond6Fish9_PondTime,63.148
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,792
Pond6Fish9_TimeLeft,319.049
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,0.893
Pond6Fish10_PondTime,72.183
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,803
Pond6Fish10_TimeLeft,310.014
Type,N
FishN,18
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,0.863
Pond6Fish11_PondTime,82.047
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,814
Pond6Fish11_TimeLeft,300.15
Type,N
FishN,18
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,0.908
Pond6Fish12_PondTime,92.981
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,825
Pond6Fish12_TimeLeft,289.216
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,0.7
PondTime,104.945
TimeLeft,276.748
PondOutcome,132
TotalOutcome,825
PondStart,PondStart
PondIntroTime,17.164563527330756
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.983
Pond7Fish1_PondTime,9.732
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,836
Pond7Fish1_TimeLeft,249.235
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.924
Pond7Fish2_PondTime,18.099
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,847
Pond7Fish2_TimeLeft,240.869
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.912
Pond7Fish3_PondTime,27.134
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,858
Pond7Fish3_TimeLeft,231.834
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.702
Pond7Fish4_PondTime,37
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,869
Pond7Fish4_TimeLeft,221.968
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.737
Pond7Fish5_PondTime,47.931
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,880
Pond7Fish5_TimeLeft,211.037
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.501
Pond7Fish6_PondTime,60.299
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,891
Pond7Fish6_TimeLeft,198.669
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,0.447
PondTime,73.861
TimeLeft,184.604
PondOutcome,66
TotalOutcome,891
PondStart,PondStart
PondIntroTime,11.776775200851262
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,0.639
Pond8Fish1_PondTime,8.268
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,902
Pond8Fish1_TimeLeft,163.953
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.854
Pond8Fish2_PondTime,14.917
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,913
Pond8Fish2_TimeLeft,157.304
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
