,5d56e5a6ed4dff00155112ea
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.284
Pond2Fish10_PondTime,72.379
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,451
Pond2Fish10_TimeLeft,745.288
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,1.291
Pond2Fish11_PondTime,82.27
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,462
Pond2Fish11_TimeLeft,735.397
Type,N
FishN,13
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.153
Pond2Fish12_PondTime,93.211
Pond2Fish12_PondOutcome,132
Pond2Fish12_TotalOutcome,473
Pond2Fish12_TimeLeft,724.456
Type,N
FishN,13
Fish,13
Pond2Fish13_FishType,green
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,1.061
Pond2Fish13_PondTime,105.588
Pond2Fish13_PondOutcome,143
Pond2Fish13_TotalOutcome,484
Pond2Fish13_TimeLeft,712.079
Type,N
FishN,13
Fish,14
Pond2Fish14_FishType,green
Pond2Fish14_FishLatency,10
Pond2Fish14_CatchTime,1.125
Pond2Fish14_PondTime,119.959
Pond2Fish14_PondOutcome,154
Pond2Fish14_TotalOutcome,495
Pond2Fish14_TimeLeft,697.708
Type,N
FishN,13
Fish,15
Pond2Fish15_FishType,green
Pond2Fish15_FishLatency,12
Pond2Fish15_CatchTime,1.185
Pond2Fish15_PondTime,137.34
Pond2Fish15_PondOutcome,165
Pond2Fish15_TotalOutcome,506
Pond2Fish15_TimeLeft,680.327
Type,N
FishN,13
Fish,16
Pond2Fish16_FishType,green
Pond2Fish16_FishLatency,15
Pond2Fish16_CatchTime,1.637
Pond2Fish16_PondTime,159.714
Pond2Fish16_PondOutcome,176
Pond2Fish16_TotalOutcome,517
Pond2Fish16_TimeLeft,657.953
PondEnd_LastFish,16
FishN,19
Type,N
GiveUpTime,21.265
PondTime,180.828
TimeLeft,636.333
PondOutcome,176
TotalOutcome,517
PondStart,PondStart
PondIntroTime,18.20688692620024
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,-1
Pond3Fish1_PondTime,10.615
Pond3Fish1_PondOutcome,0
Pond3Fish1_TotalOutcome,517
Pond3Fish1_TimeLeft,606.498
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.49
Pond3Fish2_PondTime,19.387
Pond3Fish2_PondOutcome,11
Pond3Fish2_TotalOutcome,528
Pond3Fish2_TimeLeft,597.726
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.159
Pond3Fish3_PondTime,26.381
Pond3Fish3_PondOutcome,22
Pond3Fish3_TotalOutcome,539
Pond3Fish3_TimeLeft,590.732
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.238
Pond3Fish4_PondTime,33.774
Pond3Fish4_PondOutcome,33
Pond3Fish4_TotalOutcome,550
Pond3Fish4_TimeLeft,583.339
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.555
Pond3Fish5_PondTime,41.614
Pond3Fish5_PondOutcome,44
Pond3Fish5_TotalOutcome,561
Pond3Fish5_TimeLeft,575.499
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.001
Pond3Fish6_PondTime,49.986
Pond3Fish6_PondOutcome,55
Pond3Fish6_TotalOutcome,572
Pond3Fish6_TimeLeft,567.127
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.19
Pond3Fish7_PondTime,59.041
Pond3Fish7_PondOutcome,66
Pond3Fish7_TotalOutcome,583
Pond3Fish7_TimeLeft,558.072
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.151
Pond3Fish8_PondTime,68.912
Pond3Fish8_PondOutcome,77
Pond3Fish8_TotalOutcome,594
Pond3Fish8_TimeLeft,548.201
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.112
Pond3Fish9_PondTime,79.872
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,605
Pond3Fish9_TimeLeft,537.241
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.253
Pond3Fish10_PondTime,92.26
Pond3Fish10_PondOutcome,99
Pond3Fish10_TotalOutcome,616
Pond3Fish10_TimeLeft,524.853
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,1.302
Pond3Fish11_PondTime,106.628
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,627
Pond3Fish11_TimeLeft,510.485
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,12
Pond3Fish12_CatchTime,1.394
Pond3Fish12_PondTime,123.998
Pond3Fish12_PondOutcome,121
Pond3Fish12_TotalOutcome,638
Pond3Fish12_TimeLeft,493.115
Type,N
FishN,18
Fish,13
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,15
Pond3Fish13_CatchTime,1.448
Pond3Fish13_PondTime,146.381
Pond3Fish13_PondOutcome,132
Pond3Fish13_TotalOutcome,649
Pond3Fish13_TimeLeft,470.732
PondEnd_LastFish,13
FishN,16
Type,N
GiveUpTime,0.814
PondTime,146.841
TimeLeft,469.764
PondOutcome,132
TotalOutcome,649
PondStart,PondStart
PondIntroTime,13.973466455936432
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.864
Pond9Fish1_PondTime,7.636
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,660
Pond9Fish1_TimeLeft,447.526
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.345
Pond9Fish2_PondTime,13.536
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,671
Pond9Fish2_TimeLeft,441.626
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.926
Pond9Fish3_PondTime,19.677
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,682
Pond9Fish3_TimeLeft,435.485
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.486
Pond9Fish4_PondTime,26.066
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,693
Pond9Fish4_TimeLeft,429.095
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.833
Pond9Fish5_PondTime,32.735
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,704
Pond9Fish5_TimeLeft,422.427
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.339
Pond9Fish6_PondTime,39.737
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,715
Pond9Fish6_TimeLeft,415.425
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.829
Pond9Fish7_PondTime,47.114
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,726
Pond9Fish7_TimeLeft,408.048
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.214
Pond9Fish8_PondTime,54.943
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,737
Pond9Fish8_TimeLeft,400.219
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.371
Pond9Fish9_PondTime,63.317
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,748
Pond9Fish9_TimeLeft,391.844
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.066
Pond9Fish10_PondTime,72.36
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,759
Pond9Fish10_TimeLeft,382.802
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.099
Pond9Fish11_PondTime,82.23
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,770
Pond9Fish11_TimeLeft,372.932
PondEnd_LastFish,11
FishN,19
Type,N
GiveUpTime,0.732
PondTime,82.259
TimeLeft,372.399
PondOutcome,121
TotalOutcome,770
PondStart,PondStart
PondIntroTime,19.838953404687345
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.196
Pond6Fish1_PondTime,9.767
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,781
Pond6Fish1_TimeLeft,342.153
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.038
Pond6Fish2_PondTime,18.155
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,792
Pond6Fish2_TimeLeft,333.765
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,0.976
Pond6Fish3_PondTime,27.195
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,803
Pond6Fish3_TimeLeft,324.725
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.151
Pond6Fish4_PondTime,37.084
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,814
Pond6Fish4_TimeLeft,314.836
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.195
Pond6Fish5_PondTime,48.029
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,825
Pond6Fish5_TimeLeft,303.891
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.085
Pond6Fish6_PondTime,60.417
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,836
Pond6Fish6_TimeLeft,291.503
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,0.985
Pond6Fish7_PondTime,74.802
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,847
Pond6Fish7_TimeLeft,277.118
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,0.522
PondTime,91.884
TimeLeft,259.533
PondOutcome,77
TotalOutcome,847
PondStart,PondStart
PondIntroTime,17.669085615780205
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.111
Pond5Fish1_PondTime,7.642
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,858
Pond5Fish1_TimeLeft,233.561
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.105
Pond5Fish2_PondTime,13.549
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,869
Pond5Fish2_TimeLeft,227.653
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,3.5294117647058822
