,5ca5153892dc750016e7bb35
Pond6Fish12_PondTime,108.251
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,319
Pond6Fish12_TimeLeft,729.673
Type,N
FishN,18
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,12
Pond6Fish13_CatchTime,0.708
Pond6Fish13_PondTime,125.62
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,330
Pond6Fish13_TimeLeft,712.304
Type,N
FishN,18
Fish,14
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,15
Pond6Fish14_CatchTime,0.609
Pond6Fish14_PondTime,147.978
Pond6Fish14_PondOutcome,154
Pond6Fish14_TotalOutcome,341
Pond6Fish14_TimeLeft,689.946
Type,N
FishN,18
Fish,15
Pond6Fish15_FishType,green
Pond6Fish15_FishLatency,20
Pond6Fish15_CatchTime,0.776
Pond6Fish15_PondTime,180.35
Pond6Fish15_PondOutcome,165
Pond6Fish15_TotalOutcome,352
Pond6Fish15_TimeLeft,657.574
PondEnd_LastFish,15
FishN,17
Type,N
GiveUpTime,47.799
PondTime,227.125
TimeLeft,610.29
PondOutcome,165
TotalOutcome,352
PondStart,PondStart
PondIntroTime,17.236498568672687
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.239
Pond3Fish1_PondTime,9.758
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,363
Pond3Fish1_TimeLeft,582.655
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.826
Pond3Fish2_PondTime,18.123
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,374
Pond3Fish2_TimeLeft,574.29
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,0.737
Pond3Fish3_PondTime,27.152
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,385
Pond3Fish3_TimeLeft,565.261
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.592
Pond3Fish4_PondTime,37.022
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,396
Pond3Fish4_TimeLeft,555.39
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,0.786
Pond3Fish5_PondTime,47.978
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,407
Pond3Fish5_TimeLeft,544.435
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,0.656
Pond3Fish6_PondTime,60.341
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,418
Pond3Fish6_TimeLeft,532.072
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,0.635
Pond3Fish7_PondTime,74.718
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,429
Pond3Fish7_TimeLeft,517.695
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,0.721
Pond3Fish8_PondTime,92.079
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,440
Pond3Fish8_TimeLeft,500.334
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,15
Pond3Fish9_CatchTime,0.73
Pond3Fish9_PondTime,114.448
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,451
Pond3Fish9_TimeLeft,477.965
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,20
Pond3Fish10_CatchTime,0.474
Pond3Fish10_PondTime,146.816
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,462
Pond3Fish10_TimeLeft,445.597
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,43.543
PondTime,189.041
TimeLeft,402.865
PondOutcome,110
TotalOutcome,462
PondStart,PondStart
PondIntroTime,19.0574890258722
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.764
Pond9Fish1_PondTime,8.051
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,473
Pond9Fish1_TimeLeft,375.101
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.635
Pond9Fish2_PondTime,14.408
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,484
Pond9Fish2_TimeLeft,368.744
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.838
Pond9Fish3_PondTime,21.056
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,495
Pond9Fish3_TimeLeft,362.096
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.878
Pond9Fish4_PondTime,28.029
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,506
Pond9Fish4_TimeLeft,355.123
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.726
Pond9Fish5_PondTime,35.393
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,517
Pond9Fish5_TimeLeft,347.759
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.747
Pond9Fish6_PondTime,43.25
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,528
Pond9Fish6_TimeLeft,339.902
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.639
Pond9Fish7_PondTime,51.615
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,539
Pond9Fish7_TimeLeft,331.537
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,0.796
Pond9Fish8_PondTime,60.645
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,550
Pond9Fish8_TimeLeft,322.507
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,0.711
Pond9Fish9_PondTime,70.504
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,561
Pond9Fish9_TimeLeft,312.648
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,0.807
Pond9Fish10_PondTime,81.437
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,572
Pond9Fish10_TimeLeft,301.715
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,0.593
Pond9Fish11_PondTime,93.834
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,583
Pond9Fish11_TimeLeft,289.318
Type,N
FishN,15
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,1.886
Pond9Fish12_PondTime,108.386
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,594
Pond9Fish12_TimeLeft,274.766
Type,N
FishN,15
Fish,13
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,12
Pond9Fish13_CatchTime,0.947
Pond9Fish13_PondTime,125.743
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,605
Pond9Fish13_TimeLeft,257.409
Type,N
FishN,15
Fish,14
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,15
Pond9Fish14_CatchTime,0.795
Pond9Fish14_PondTime,148.125
Pond9Fish14_PondOutcome,154
Pond9Fish14_TotalOutcome,616
Pond9Fish14_TimeLeft,235.027
Type,N
FishN,15
Fish,15
Pond9Fish15_FishType,green
Pond9Fish15_FishLatency,20
Pond9Fish15_CatchTime,0.874
Pond9Fish15_PondTime,180.492
Pond9Fish15_PondOutcome,165
Pond9Fish15_TotalOutcome,627
Pond9Fish15_TimeLeft,202.66
PondEnd_LastFish,15
FishN,17
Type,N
GiveUpTime,40.892
PondTime,220.458
TimeLeft,162.189
PondOutcome,165
TotalOutcome,627
PondStart,PondStart
PondIntroTime,13.704014548566192
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,1.14
Pond2Fish1_PondTime,8.591
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,638
Pond2Fish1_TimeLeft,139.268
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,0.693
Pond2Fish2_PondTime,15.58
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,649
Pond2Fish2_TimeLeft,132.278
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,0.584
Pond2Fish3_PondTime,22.947
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,660
Pond2Fish3_TimeLeft,124.912
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,0.771
Pond2Fish4_PondTime,30.761
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,671
Pond2Fish4_TimeLeft,117.098
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,0.563
Pond2Fish5_PondTime,39.122
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,682
Pond2Fish5_TimeLeft,108.737
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,1.572
Pond2Fish6_PondTime,48.148
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,693
Pond2Fish6_TimeLeft,99.711
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,1.031
Pond2Fish7_PondTime,58.024
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,704
Pond2Fish7_TimeLeft,89.834
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,0.72
Pond2Fish8_PondTime,68.959
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,715
Pond2Fish8_TimeLeft,78.9
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,0.692
Pond2Fish9_PondTime,81.338
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,726
Pond2Fish9_TimeLeft,66.521
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,0.589
Pond2Fish10_PondTime,95.724
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,737
Pond2Fish10_TimeLeft,52.135
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,12
Pond2Fish11_CatchTime,0.897
Pond2Fish11_PondTime,113.087
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,748
Pond2Fish11_TimeLeft,34.772
Type,N
FishN,13
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,15
Pond2Fish12_CatchTime,0.827
Pond2Fish12_PondTime,135.462
Pond2Fish12_PondOutcome,132
Pond2Fish12_TotalOutcome,759
Pond2Fish12_TimeLeft,12.397
