,5ce787a02ba98d000149f18c
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,1.303
Pond7Fish3_PondTime,27.418
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,693
Pond7Fish3_TimeLeft,402.734
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,1.277
Pond7Fish4_PondTime,36.464
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,704
Pond7Fish4_TimeLeft,393.687
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,0.744
Pond7Fish5_PondTime,46.327
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,715
Pond7Fish5_TimeLeft,383.825
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,1.067
Pond7Fish6_PondTime,57.277
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,726
Pond7Fish6_TimeLeft,372.875
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,1.338
Pond7Fish7_PondTime,69.645
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,737
Pond7Fish7_TimeLeft,360.507
PondEnd_LastFish,7
FishN,13
Type,N
GiveUpTime,0.816
PondTime,70.004
TimeLeft,359.643
PondOutcome,77
TotalOutcome,737
PondStart,PondStart
PondIntroTime,12.036310378462076
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.29
Pond4Fish1_PondTime,8.897
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,748
Pond4Fish1_TimeLeft,338.086
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.961
Pond4Fish2_PondTime,16.253
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,759
Pond4Fish2_TimeLeft,330.73
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.318
Pond4Fish3_PondTime,24.079
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,770
Pond4Fish3_TimeLeft,322.904
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.032
Pond4Fish4_PondTime,32.439
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,781
Pond4Fish4_TimeLeft,314.544
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.171
Pond4Fish5_PondTime,41.506
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,792
Pond4Fish5_TimeLeft,305.477
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.44
Pond4Fish6_PondTime,51.361
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,803
Pond4Fish6_TimeLeft,295.622
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.202
Pond4Fish7_PondTime,62.312
