,5decb11b9b8f2437f63f1d8b
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,0.943
Pond8Fish3_PondTime,21.019
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,529
Pond8Fish3_TimeLeft,686.893
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.063
Pond8Fish4_PondTime,27.994
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,540
Pond8Fish4_TimeLeft,679.918
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,0.745
Pond8Fish5_PondTime,35.351
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,551
Pond8Fish5_TimeLeft,672.561
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,0.689
Pond8Fish6_PondTime,43.16
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,562
Pond8Fish6_TimeLeft,664.752
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,0.971
Pond8Fish7_PondTime,51.519
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,573
Pond8Fish7_TimeLeft,656.393
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6
Pond8Fish8_CatchTime,0.696
Pond8Fish8_PondTime,60.546
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,584
Pond8Fish8_TimeLeft,647.366
PondEnd_LastFish,8
FishN,17
Type,N
GiveUpTime,0.31
PondTime,69.844
TimeLeft,637.567
PondOutcome,88
TotalOutcome,584
PondStart,PondStart
PondIntroTime,12.794048457872123
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.696
Pond12Fish1_PondTime,8.268
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,596
Pond12Fish1_TimeLeft,615.884
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.909
Pond12Fish2_PondTime,14.91
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,608
Pond12Fish2_TimeLeft,609.242
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.884
Pond12Fish3_PondTime,21.884
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,620
Pond12Fish3_TimeLeft,602.268
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.79
Pond12Fish4_PondTime,29.242
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,632
Pond12Fish4_TimeLeft,594.91
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.774
Pond12Fish5_PondTime,37.06
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,644
Pond12Fish5_TimeLeft,587.092
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.792
Pond12Fish6_PondTime,45.416
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,656
Pond12Fish6_TimeLeft,578.736
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.76
Pond12Fish7_PondTime,54.441
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,668
Pond12Fish7_TimeLeft,569.711
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.668
Pond12Fish8_PondTime,64.3
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,680
Pond12Fish8_TimeLeft,559.852
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,gray
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.848
Pond12Fish9_PondTime,75.233
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,682
Pond12Fish9_TimeLeft,548.919
PondEnd_LastFish,9
FishN,16
Type,RD
GiveUpTime,0.503
PondTime,87.243
TimeLeft,536.405
PondOutcome,98
TotalOutcome,682
PondStart,PondStart
PondIntroTime,18.148454492911696
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,0.812
Pond3Fish1_PondTime,8.017
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,694
Pond3Fish1_TimeLeft,509.628
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,0.815
Pond3Fish2_PondTime,14.377
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,706
Pond3Fish2_TimeLeft,503.268
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.694
Pond3Fish3_PondTime,21.019
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,718
Pond3Fish3_TimeLeft,496.626
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.766
Pond3Fish4_PondTime,27.993
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,730
Pond3Fish4_TimeLeft,489.652
Type,RD
FishN,18
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.863
Pond3Fish5_PondTime,35.35
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,742
Pond3Fish5_TimeLeft,482.295
Type,RD
FishN,18
Fish,6
