,5d96108d33f8930017e85506
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,803
Pond5Fish7_TimeLeft,348.125
Type,N
FishN,17
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.888
Pond5Fish8_PondTime,57.468
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,814
Pond5Fish8_TimeLeft,339.756
Type,N
FishN,17
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,0.692
Pond5Fish9_PondTime,66.499
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,825
Pond5Fish9_TimeLeft,330.725
Type,N
FishN,17
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,0.937
Pond5Fish10_PondTime,76.367
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,836
Pond5Fish10_TimeLeft,320.857
Type,N
FishN,17
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,1.089
Pond5Fish11_PondTime,87.299
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,847
Pond5Fish11_TimeLeft,309.925
Type,N
FishN,17
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,0.809
Pond5Fish12_PondTime,99.667
Pond5Fish12_PondOutcome,132
Pond5Fish12_TotalOutcome,858
Pond5Fish12_TimeLeft,297.557
Type,N
FishN,17
Fish,13
Pond5Fish13_FishType,green
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,1.356
Pond5Fish13_PondTime,114.032
Pond5Fish13_PondOutcome,143
Pond5Fish13_TotalOutcome,869
Pond5Fish13_TimeLeft,283.192
Type,N
FishN,17
Fish,14
Pond5Fish14_FishType,green
Pond5Fish14_FishLatency,12
Pond5Fish14_CatchTime,0.922
Pond5Fish14_PondTime,131.399
Pond5Fish14_PondOutcome,154
Pond5Fish14_TotalOutcome,880
Pond5Fish14_TimeLeft,265.825
PondEnd_LastFish,14
FishN,18
Type,N
GiveUpTime,1.091
PondTime,131.622
TimeLeft,265.1
PondOutcome,154
TotalOutcome,880
PondStart,PondStart
PondIntroTime,10.899466064292938
Type,RD
FishN,14
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.08
Pond9Fish1_PondTime,9.735
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,892
Pond9Fish1_TimeLeft,243.841
Type,RD
