,5ddaca18dba634a313f3bd1d
Pond5Fish7_TimeLeft,558.923
Type,RD
FishN,17
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.224
Pond5Fish8_PondTime,64.585
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,516
Pond5Fish8_TimeLeft,549.056
Type,RD
FishN,17
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,1.611
Pond5Fish9_PondTime,75.579
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,528
Pond5Fish9_TimeLeft,538.062
Type,RD
FishN,17
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,1.591
Pond5Fish10_PondTime,87.967
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,540
Pond5Fish10_TimeLeft,525.674
Type,RD
FishN,17
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,1.569
Pond5Fish11_PondTime,102.361
Pond5Fish11_PondOutcome,132
Pond5Fish11_TotalOutcome,552
Pond5Fish11_TimeLeft,511.279
Type,RD
FishN,17
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.287
Pond5Fish12_PondTime,119.736
Pond5Fish12_PondOutcome,144
Pond5Fish12_TotalOutcome,564
Pond5Fish12_TimeLeft,493.905
Type,RD
FishN,17
Fish,13
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,15
Pond5Fish13_CatchTime,1.139
Pond5Fish13_PondTime,142.136
Pond5Fish13_PondOutcome,156
Pond5Fish13_TotalOutcome,576
Pond5Fish13_TimeLeft,471.505
PondEnd_LastFish,13
FishN,16
Type,RD
GiveUpTime,1.206
PondTime,142.687
TimeLeft,470.449
PondOutcome,156
TotalOutcome,576
PondStart,PondStart
PondIntroTime,15.619983549695462
Type,N
FishN,14
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.189
Pond4Fish1_PondTime,9.738
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,587
Pond4Fish1_TimeLeft,444.47
Type,N
FishN,14
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,18.204
Pond4Fish2_PondOutcome,11
Pond4Fish2_TotalOutcome,587
Pond4Fish2_TimeLeft,436.004
Type,N
FishN,14
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,1.255
Pond4Fish3_PondTime,27.286
Pond4Fish3_PondOutcome,22
Pond4Fish3_TotalOutcome,598
Pond4Fish3_TimeLeft,426.922
Type,N
FishN,14
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,-1
Pond4Fish4_PondTime,37.234
Pond4Fish4_PondOutcome,22
Pond4Fish4_TotalOutcome,598
Pond4Fish4_TimeLeft,416.974
Type,N
FishN,14
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,1.24
Pond4Fish5_PondTime,48.22
Pond4Fish5_PondOutcome,33
Pond4Fish5_TotalOutcome,609
Pond4Fish5_TimeLeft,405.988
Type,N
FishN,14
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,1.708
Pond4Fish6_PondTime,60.653
Pond4Fish6_PondOutcome,44
Pond4Fish6_TotalOutcome,620
Pond4Fish6_TimeLeft,393.555
Type,N
FishN,14
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,1.28
Pond4Fish7_PondTime,75.042
Pond4Fish7_PondOutcome,55
Pond4Fish7_TotalOutcome,631
Pond4Fish7_TimeLeft,379.166
Type,N
FishN,14
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,1.584
Pond4Fish8_PondTime,92.422
Pond4Fish8_PondOutcome,66
Pond4Fish8_TotalOutcome,642
Pond4Fish8_TimeLeft,361.786
Type,N
FishN,14
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,15
Pond4Fish9_CatchTime,1.327
Pond4Fish9_PondTime,114.804
Pond4Fish9_PondOutcome,77
Pond4Fish9_TotalOutcome,653
Pond4Fish9_TimeLeft,339.404
Type,N
FishN,14
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,20
Pond4Fish10_CatchTime,1.394
Pond4Fish10_PondTime,147.187
Pond4Fish10_PondOutcome,88
