,5c3764a08cfec40001c063ad
Pond9Fish7_TotalOutcome,500
Pond9Fish7_TimeLeft,670.278
Type,N
FishN,14
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.2
Pond9Fish8_PondTime,92.197
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,511
Pond9Fish8_TimeLeft,652.895
Type,N
FishN,14
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,1.456
Pond9Fish9_PondTime,114.558
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,522
Pond9Fish9_TimeLeft,630.534
Type,N
FishN,14
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,20
Pond9Fish10_CatchTime,1.592
Pond9Fish10_PondTime,146.932
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,533
Pond9Fish10_TimeLeft,598.16
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,33.634
PondTime,180.365
TimeLeft,564.225
PondOutcome,110
TotalOutcome,533
PondStart,PondStart
PondIntroTime,15.619507206138223
Type,RT
FishN,15
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.801
Pond12Fish1_PondTime,9.029
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,543
Pond12Fish1_TimeLeft,538.937
Type,RT
FishN,15
Fish,2
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.546
Pond12Fish2_PondTime,16.412
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,563
Pond12Fish2_TimeLeft,531.554
Type,RT
FishN,15
Fish,3
Pond12Fish3_FishType,golden
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,1.421
Pond12Fish3_PondTime,24.233
Pond12Fish3_PondOutcome,50
Pond12Fish3_TotalOutcome,583
Pond12Fish3_TimeLeft,523.733
Type,RT
FishN,15
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,-1
Pond12Fish4_PondTime,32.65
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,583
Pond12Fish4_TimeLeft,515.316
Type,RT
FishN,15
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,1.356
Pond12Fish5_PondTime,41.686
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,593
Pond12Fish5_TimeLeft,506.28
Type,RT
FishN,15
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.479
Pond12Fish6_PondTime,51.557
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,603
Pond12Fish6_TimeLeft,496.409
Type,RT
FishN,15
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.235
Pond12Fish7_PondTime,62.515
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,613
Pond12Fish7_TimeLeft,485.451
Type,RT
FishN,15
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.923
Pond12Fish8_PondTime,74.882
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,623
Pond12Fish8_TimeLeft,473.084
Type,RT
FishN,15
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,0.929
Pond12Fish9_PondTime,89.25
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,633
Pond12Fish9_TimeLeft,458.716
Type,RT
FishN,15
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,12
Pond12Fish10_CatchTime,1.179
Pond12Fish10_PondTime,106.612
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,643
Pond12Fish10_TimeLeft,441.354
Type,RT
FishN,15
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,15
Pond12Fish11_CatchTime,1.802
Pond12Fish11_PondTime,129.097
Pond12Fish11_PondOutcome,120
Pond12Fish11_TotalOutcome,653
Pond12Fish11_TimeLeft,418.869
Type,RT
FishN,15
Fish,12
Pond12Fish12_FishType,purple
Pond12Fish12_FishLatency,20
Pond12Fish12_CatchTime,1.106
Pond12Fish12_PondTime,161.468
Pond12Fish12_PondOutcome,130
Pond12Fish12_TotalOutcome,663
Pond12Fish12_TimeLeft,386.498
PondEnd_LastFish,12
