,59a734ce0c87a000017481ed
Pond8Fish10_TotalOutcome,690
Pond8Fish10_TimeLeft,383.466
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.143
Pond8Fish11_PondTime,82.629
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,701
Pond8Fish11_TimeLeft,373.518
Type,N
FishN,15
Fish,12
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.094
Pond8Fish12_PondTime,93.598
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,712
Pond8Fish12_TimeLeft,362.549
Type,N
FishN,15
Fish,13
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,0.783
Pond8Fish13_PondTime,106.095
Pond8Fish13_PondOutcome,143
Pond8Fish13_TotalOutcome,723
Pond8Fish13_TimeLeft,350.052
Type,N
FishN,15
Fish,14
Pond8Fish14_FishType,green
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.27
Pond8Fish14_PondTime,120.48
Pond8Fish14_PondOutcome,154
Pond8Fish14_TotalOutcome,734
Pond8Fish14_TimeLeft,335.667
Type,N
FishN,15
Fish,15
Pond8Fish15_FishType,green
Pond8Fish15_FishLatency,12
Pond8Fish15_CatchTime,1.581
Pond8Fish15_PondTime,137.885
Pond8Fish15_PondOutcome,165
Pond8Fish15_TotalOutcome,745
Pond8Fish15_TimeLeft,318.262
PondEnd_LastFish,15
FishN,19
Type,N
GiveUpTime,12.029
PondTime,149.7
TimeLeft,305.94
PondOutcome,165
TotalOutcome,745
PondStart,PondStart
PondIntroTime,14.028325211256742
Type,N
FishN,16
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.663
Pond10Fish1_PondTime,9.802
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,756
Pond10Fish1_TimeLeft,281.484
Type,N
FishN,16
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.225
Pond10Fish2_PondTime,18.265
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,767
Pond10Fish2_TimeLeft,273.021
Type,N
FishN,16
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.826
Pond10Fish3_PondTime,27.425
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,778
Pond10Fish3_TimeLeft,263.861
Type,N
FishN,16
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.787
Pond10Fish4_PondTime,37.383
Pond10Fish4_PondOutcome,44
