,5c9f36824563540012472fc5
Type,RD
FishN,17
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.717
Pond6Fish6_PondTime,39.633
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,813
Pond6Fish6_TimeLeft,297.69
Type,RD
FishN,17
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.181
Pond6Fish7_PondTime,47.001
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,825
Pond6Fish7_TimeLeft,290.322
Type,RD
FishN,17
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,0.742
Pond6Fish8_PondTime,54.82
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,837
Pond6Fish8_TimeLeft,282.503
Type,RD
FishN,17
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.085
Pond6Fish9_PondTime,63.187
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,849
Pond6Fish9_TimeLeft,274.136
Type,RD
FishN,17
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,0.913
Pond6Fish10_PondTime,72.22
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,861
Pond6Fish10_TimeLeft,265.103
Type,RD
FishN,17
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,0.645
Pond6Fish11_PondTime,82.087
Pond6Fish11_PondOutcome,132
Pond6Fish11_TotalOutcome,873
Pond6Fish11_TimeLeft,255.236
Type,RD
FishN,17
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,0.951
Pond6Fish12_PondTime,93.022
Pond6Fish12_PondOutcome,144
Pond6Fish12_TotalOutcome,885
Pond6Fish12_TimeLeft,244.3
Type,RD
FishN,17
Fish,13
Pond6Fish13_FishType,blue
Pond6Fish13_FishLatency,8.571428571428571
Pond6Fish13_CatchTime,0.941
Pond6Fish13_PondTime,105.401
Pond6Fish13_PondOutcome,156
