,5d9cc7e8d81c510017447d62
Pond1Fish4_CatchTime,1.142
Pond1Fish4_PondTime,27.097
Pond1Fish4_PondOutcome,33
Pond1Fish4_TotalOutcome,361
Pond1Fish4_TimeLeft,794.949
Type,N
FishN,15
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.109
Pond1Fish5_PondTime,34.08
Pond1Fish5_PondOutcome,44
Pond1Fish5_TotalOutcome,372
Pond1Fish5_TimeLeft,787.966
Type,N
FishN,15
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.966
Pond1Fish6_PondTime,41.445
Pond1Fish6_PondOutcome,55
Pond1Fish6_TotalOutcome,383
Pond1Fish6_TimeLeft,780.601
Type,N
FishN,15
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.959
Pond1Fish7_PondTime,49.274
Pond1Fish7_PondOutcome,66
Pond1Fish7_TotalOutcome,394
Pond1Fish7_TimeLeft,772.772
Type,N
FishN,15
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.144
Pond1Fish8_PondTime,57.675
Pond1Fish8_PondOutcome,77
Pond1Fish8_TotalOutcome,405
Pond1Fish8_TimeLeft,764.371
Type,N
FishN,15
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.886
Pond1Fish9_PondTime,66.711
Pond1Fish9_PondOutcome,88
Pond1Fish9_TotalOutcome,416
Pond1Fish9_TimeLeft,755.334
Type,N
FishN,15
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.892
Pond1Fish10_PondTime,76.573
Pond1Fish10_PondOutcome,99
Pond1Fish10_TotalOutcome,427
Pond1Fish10_TimeLeft,745.473
Type,N
FishN,15
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.944
Pond1Fish11_PondTime,87.51
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,438
Pond1Fish11_TimeLeft,734.536
Type,N
FishN,15
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.146
Pond1Fish12_PondTime,99.875
Pond1Fish12_PondOutcome,121
Pond1Fish12_TotalOutcome,449
Pond1Fish12_TimeLeft,722.17
PondEnd_LastFish,12
FishN,18
Type,N
GiveUpTime,0.545
PondTime,113.716
TimeLeft,707.825
PondOutcome,121
TotalOutcome,449
PondStart,PondStart
PondIntroTime,11.126601975411177
Type,RT
FishN,16
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,2.034
Pond2Fish1_PondTime,8.64
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,459
Pond2Fish1_TimeLeft,687.433
Type,RT
FishN,16
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,1.079
Pond2Fish2_PondTime,15.617
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,469
Pond2Fish2_TimeLeft,680.456
Type,RT
FishN,16
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,1.05
Pond2Fish3_PondTime,22.985
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,479
Pond2Fish3_TimeLeft,673.088
Type,RT
FishN,16
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,0.936
Pond2Fish4_PondTime,30.819
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,489
Pond2Fish4_TimeLeft,665.254
Type,RT
FishN,16
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,0.881
Pond2Fish5_PondTime,39.198
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,499
Pond2Fish5_TimeLeft,656.874
Type,RT
FishN,16
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,0.896
Pond2Fish6_PondTime,48.251
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,509
Pond2Fish6_TimeLeft,647.822
Type,RT
FishN,16
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,1.014
Pond2Fish7_PondTime,58.112
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,519
Pond2Fish7_TimeLeft,637.961
Type,RT
FishN,16
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,0.871
Pond2Fish8_PondTime,69.05
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,529
Pond2Fish8_TimeLeft,627.023
PondEnd_LastFish,8
FishN,15
Type,RT
GiveUpTime,0.733
PondTime,81.16
TimeLeft,614.41
PondOutcome,80
TotalOutcome,529
PondStart,PondStart
PondIntroTime,14.702101666480303
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.814
Pond3Fish1_PondTime,7.613
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,539
Pond3Fish1_TimeLeft,591.464
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.969
Pond3Fish2_PondTime,13.511
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,549
Pond3Fish2_TimeLeft,585.566
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.701
Pond3Fish3_PondTime,19.631
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,559
Pond3Fish3_TimeLeft,579.446
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.791
Pond3Fish4_PondTime,26
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,569
Pond3Fish4_TimeLeft,573.077
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.325
Pond3Fish5_PondTime,32.661
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,579
Pond3Fish5_TimeLeft,566.416
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.038
Pond3Fish6_PondTime,39.643
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,589
Pond3Fish6_TimeLeft,559.434
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.744
Pond3Fish7_PondTime,47.016
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,599
Pond3Fish7_TimeLeft,552.061
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.589
Pond3Fish8_PondTime,54.83
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,609
Pond3Fish8_TimeLeft,544.247
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.833
Pond3Fish9_PondTime,63.194
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,619
Pond3Fish9_TimeLeft,535.883
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.832
Pond3Fish10_PondTime,72.255
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,629
Pond3Fish10_TimeLeft,526.822
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.965
Pond3Fish11_PondTime,82.125
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,639
Pond3Fish11_TimeLeft,516.951
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,0.816
Pond3Fish12_PondTime,93.078
Pond3Fish12_PondOutcome,120
Pond3Fish12_TotalOutcome,649
Pond3Fish12_TimeLeft,505.999
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.654
PondTime,105.043
TimeLeft,493.53
PondOutcome,120
TotalOutcome,649
PondStart,PondStart
PondIntroTime,16.107993004843593
Type,RD
FishN,12
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.812
Pond7Fish1_PondTime,9.748
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,661
Pond7Fish1_TimeLeft,467.055
Type,RD
FishN,12
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.766
Pond7Fish2_PondTime,18.12
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,673
Pond7Fish2_TimeLeft,458.683
Type,RD
FishN,12
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.901
Pond7Fish3_PondTime,27.146
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,685
Pond7Fish3_TimeLeft,449.657
Type,RD
FishN,12
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.827
Pond7Fish4_PondTime,37.016
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,697
Pond7Fish4_TimeLeft,439.787
Type,RD
FishN,12
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.86
Pond7Fish5_PondTime,47.969
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,709
Pond7Fish5_TimeLeft,428.834
Type,RD
FishN,12
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,1.388
Pond7Fish6_PondTime,60.349
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,721
Pond7Fish6_TimeLeft,416.454
Type,RD
FishN,12
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,0.978
Pond7Fish7_PondTime,74.712
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,733
Pond7Fish7_TimeLeft,402.091
PondEnd_LastFish,7
FishN,12
Type,RD
GiveUpTime,0.624
PondTime,91.864
TimeLeft,384.434
PondOutcome,84
TotalOutcome,733
PondStart,PondStart
PondIntroTime,19.38561193877831
Type,N
FishN,16
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.66
Pond10Fish1_PondTime,9.765
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,744
Pond10Fish1_TimeLeft,354.662
Type,N
FishN,16
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.452
Pond10Fish2_PondTime,18.134
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,755
Pond10Fish2_TimeLeft,346.293
Type,N
FishN,16
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.003
Pond10Fish3_PondTime,27.166
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,766
Pond10Fish3_TimeLeft,337.261
Type,N
FishN,16
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.89
Pond10Fish4_PondTime,37.03
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,777
Pond10Fish4_TimeLeft,327.397
Type,N
FishN,16
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.901
Pond10Fish5_PondTime,47.965
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,788
Pond10Fish5_TimeLeft,316.462
Type,N
FishN,16
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.847
Pond10Fish6_PondTime,60.329
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,799
Pond10Fish6_TimeLeft,304.098
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,0.4
PondTime,74.225
TimeLeft,289.697
PondOutcome,66
TotalOutcome,799
PondStart,PondStart
PondIntroTime,11.851373750250787
Type,RD
FishN,17
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.883
Pond5Fish1_PondTime,8.286
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,811
Pond5Fish1_TimeLeft,268.93
Type,RD
FishN,17
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,1.119
Pond5Fish2_PondTime,14.957
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,823
Pond5Fish2_TimeLeft,262.259
Type,RD
FishN,17
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.961
Pond5Fish3_PondTime,21.951
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,835
Pond5Fish3_TimeLeft,255.265
Type,RD
FishN,17
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.667
Pond5Fish4_PondTime,29.316
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,847
Pond5Fish4_TimeLeft,247.9
Type,RD
FishN,17
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.651
Pond5Fish5_PondTime,37.13
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,859
Pond5Fish5_TimeLeft,240.086
Type,RD
FishN,17
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,0.66
Pond5Fish6_PondTime,45.497
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,871
Pond5Fish6_TimeLeft,231.719
Type,RD
FishN,17
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,0.881
Pond5Fish7_PondTime,54.533
