,58752a4b2bd3c90001859e1d
Pond5Fish15_TotalOutcome,361
Pond5Fish15_TimeLeft,729.148
Type,RT
FishN,17
Fish,16
Pond5Fish16_FishType,purple
Pond5Fish16_FishLatency,60
Pond5Fish16_CatchTime,1.445
Pond5Fish16_PondTime,238.965
Pond5Fish16_PondOutcome,160
Pond5Fish16_TotalOutcome,371
Pond5Fish16_TimeLeft,726.784
PondEnd_LastFish,16
FishN,16
Type,RT
GiveUpTime,3.598
PondTime,242.212
TimeLeft,723.034
PondOutcome,160
TotalOutcome,371
PondStart,PondStart
PondIntroTime,11.593932511750609
Type,RT
FishN,14
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,2.033
Pond4Fish1_PondTime,9.339
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,381
Pond4Fish1_TimeLeft,701.481
Type,RT
FishN,14
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.29
Pond4Fish2_PondTime,17.161
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,391
Pond4Fish2_TimeLeft,693.658
Type,RT
FishN,14
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.606
Pond4Fish3_PondTime,25.531
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,401
Pond4Fish3_TimeLeft,685.289
Type,RT
FishN,14
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.895
Pond4Fish4_PondTime,34.769
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,411
Pond4Fish4_TimeLeft,676.051
Type,RT
FishN,14
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.403
Pond4Fish5_PondTime,44.624
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,421
Pond4Fish5_TimeLeft,666.196
Type,RT
FishN,14
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.199
Pond4Fish6_PondTime,55.563
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,431
Pond4Fish6_TimeLeft,655.257
Type,RT
FishN,14
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.121
Pond4Fish7_PondTime,67.924
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,441
Pond4Fish7_TimeLeft,642.896
Type,RT
FishN,14
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.104
Pond4Fish8_PondTime,82.293
Pond4Fish8_PondOutcome,80
