,5bdeeb372562330001b9799a
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,436
Pond10Fish8_TimeLeft,691.727
Pond10_Type,RT
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,1.212
Pond10Fish9_PondTime,128.456
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,446
Pond10Fish9_TimeLeft,669.296
Pond10_GiveUpTime,29.307
Pond10_PondTime,157.567
Pond10_PondOutcome,90
Pond10_TotalOutcome,446
Pond10_TimeLeft,640.185
Pond11IntroTime,14.621126020792872
Pond11_Type,RT
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.241
Pond11Fish1_PondTime,23.595
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,456
Pond11Fish1_TimeLeft,616.59
Pond11_Type,RT
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.3
Pond11Fish2_PondTime,30.322
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,466
Pond11Fish2_TimeLeft,609.863
Pond11_Type,RT
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.165
Pond11Fish3_PondTime,37.338
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,476
Pond11Fish3_TimeLeft,602.847
Pond11_Type,RT
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.201
Pond11Fish4_PondTime,44.725
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,486
Pond11Fish4_TimeLeft,595.46
Pond11_Type,RT
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,1.579
Pond11Fish5_PondTime,52.601
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,496
Pond11Fish5_TimeLeft,587.583
Pond11_Type,RT
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.188
Pond11Fish6_PondTime,61.03
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,506
Pond11Fish6_TimeLeft,579.154
Pond11_Type,RT
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.748
Pond11Fish7_PondTime,70.134
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,516
Pond11Fish7_TimeLeft,570.051
Pond11_Type,RT
