,5c4a0edb10903d0001487d13
Pond11Fish5_TimeLeft,708.839
Pond11_Type,RT
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.151
Pond11Fish6_PondTime,65.959
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,488
Pond11Fish6_TimeLeft,700.424
Pond11_Type,RT
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.719
Pond11Fish7_PondTime,75.042
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,498
Pond11Fish7_TimeLeft,691.341
Pond11_Type,RT
Pond11Fish8_FishType,golden
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.035
Pond11Fish8_PondTime,85.04
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,518
Pond11Fish8_TimeLeft,681.343
Pond11_Type,RT
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,1.024
Pond11Fish9_PondTime,96.02
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,528
Pond11Fish9_TimeLeft,670.363
Pond11_GiveUpTime,1.023
Pond11_PondTime,96.677
Pond11_PondOutcome,100
Pond11_TotalOutcome,528
Pond11_TimeLeft,669.706
Pond10IntroTime,10.069111709017307
Pond10_Type,RT
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.52
Pond10Fish1_PondTime,20.461
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,538
Pond10Fish1_TimeLeft,649.245
Pond10_Type,RT
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,-1
Pond10Fish2_PondTime,28.914
Pond10Fish2_PondOutcome,10
Pond10Fish2_TotalOutcome,538
Pond10Fish2_TimeLeft,640.792
Pond10_Type,RT
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.36
Pond10Fish3_PondTime,37.996
Pond10Fish3_PondOutcome,20
Pond10Fish3_TotalOutcome,548
Pond10Fish3_TimeLeft,631.71
Pond10_Type,RT
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.195
Pond10Fish4_PondTime,47.89
Pond10Fish4_PondOutcome,30
Pond10Fish4_TotalOutcome,558
Pond10Fish4_TimeLeft,621.816
Pond10_Type,RT
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.115
Pond10Fish5_PondTime,58.855
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,568
Pond10Fish5_TimeLeft,610.851
Pond10_GiveUpTime,1.08
Pond10_PondTime,59.651
Pond10_PondOutcome,40
Pond10_TotalOutcome,568
Pond10_TimeLeft,610.055
Pond3IntroTime,15.446708337403834
Pond3_Type,RT
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.081
Pond3Fish1_PondTime,28.621
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,588
Pond3Fish1_TimeLeft,581.434
Pond3_Type,RT
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.168
Pond3Fish2_PondTime,36.446
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,598
Pond3Fish2_TimeLeft,573.609
Pond3_Type,RT
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,1.275
Pond3Fish3_PondTime,44.844
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,608
Pond3Fish3_TimeLeft,565.211
Pond3_Type,RT
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.212
Pond3Fish4_PondTime,53.923
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,618
Pond3Fish4_TimeLeft,556.132
Pond3_Type,RT
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.976
Pond3Fish5_PondTime,63.829
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,628
Pond3Fish5_TimeLeft,546.226
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.312
Pond3Fish6_PondTime,74.827
