,5d8911dd8dffca0016bf3b0b
Pond7Fish11_CatchTime,0.982
Pond7Fish11_PondTime,113.018
Pond7Fish11_PondOutcome,130
Pond7Fish11_TotalOutcome,442
Pond7Fish11_TimeLeft,759.241
Pond7_Type,RT
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.006
Pond7Fish12_PondTime,127.382
Pond7Fish12_PondOutcome,140
Pond7Fish12_TotalOutcome,452
Pond7Fish12_TimeLeft,744.878
Pond7_Type,RT
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,0.947
Pond7Fish13_PondTime,144.746
Pond7Fish13_PondOutcome,150
Pond7Fish13_TotalOutcome,462
Pond7Fish13_TimeLeft,727.514
Pond7_Type,RT
Pond7Fish14_FishType,purple
Pond7Fish14_FishLatency,15
Pond7Fish14_CatchTime,1.511
Pond7Fish14_PondTime,167.11
Pond7Fish14_PondOutcome,160
Pond7Fish14_TotalOutcome,472
Pond7Fish14_TimeLeft,705.15
Pond7_GiveUpTime,0.663
Pond7_PondTime,167.887
Pond7_PondOutcome,160
Pond7_TotalOutcome,472
Pond7_TimeLeft,704.372
Pond6IntroTime,10.722439736127853
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.527
Pond6Fish1_PondTime,19.138
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,484
Pond6Fish1_TimeLeft,685.234
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.958
Pond6Fish2_PondTime,25.253
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,496
Pond6Fish2_TimeLeft,679.119
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.753
Pond6Fish3_PondTime,31.62
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,508
Pond6Fish3_TimeLeft,672.751
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,-1
Pond6Fish4_PondTime,38.332
Pond6Fish4_PondOutcome,36
