,5d91ec6e24ba94001803a56a
Pond12Fish2_TimeLeft,443.8
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.929
Pond12Fish3_PondTime,41.98
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,761
Pond12Fish3_TimeLeft,436.402
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.964
Pond12Fish4_PondTime,49.883
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,772
Pond12Fish4_TimeLeft,428.499
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.13
Pond12Fish5_PondTime,58.242
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,783
Pond12Fish5_TimeLeft,420.14
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.767
Pond12Fish6_PondTime,67.279
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,794
Pond12Fish6_TimeLeft,411.103
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.072
Pond12Fish7_PondTime,77.175
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,805
Pond12Fish7_TimeLeft,401.207
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.894
Pond12Fish8_PondTime,88.145
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,816
Pond12Fish8_TimeLeft,390.237
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.093
Pond12Fish9_PondTime,100.502
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,827
Pond12Fish9_TimeLeft,377.88
Pond12_GiveUpTime,0.54
Pond12_PondTime,114.746
Pond12_PondOutcome,99
Pond12_TotalOutcome,827
Pond12_TimeLeft,363.636
Pond9IntroTime,17.610548888333142
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.853
Pond9Fish1_PondTime,26.302
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,838
Pond9Fish1_TimeLeft,337.334
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.906
Pond9Fish2_PondTime,32.706
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,849
Pond9Fish2_TimeLeft,330.93
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.991
Pond9Fish3_PondTime,39.382
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,860
Pond9Fish3_TimeLeft,324.254
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.917
Pond9Fish4_PondTime,46.374
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,871
Pond9Fish4_TimeLeft,317.262
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.587
Pond9Fish5_PondTime,53.768
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,882
Pond9Fish5_TimeLeft,309.867
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.967
Pond9Fish6_PondTime,61.63
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,893
Pond9Fish6_TimeLeft,302.005
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.805
Pond9Fish7_PondTime,70.026
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,904
Pond9Fish7_TimeLeft,293.61
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.16
Pond9Fish8_PondTime,79.082
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,915
Pond9Fish8_TimeLeft,284.553
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.019
Pond9Fish9_PondTime,88.982
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,926
Pond9Fish9_TimeLeft,274.654
Pond9_GiveUpTime,0.662
Pond9_PondTime,100.133
Pond9_PondOutcome,99
Pond9_TotalOutcome,926
Pond9_TimeLeft,263.503
Pond7IntroTime,15.150354800280184
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.936
Pond7Fish1_PondTime,24.063
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,937
Pond7Fish1_TimeLeft,239.44
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.026
Pond7Fish2_PondTime,30.756
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,948
Pond7Fish2_TimeLeft,232.747
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
