,5d945ad02d58dc00195ead79
Pond1Fish1_PondTime,28.874
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,813
Pond1Fish1_TimeLeft,266.07
Pond1_Type,RD
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.61
Pond1Fish2_PondTime,36.69
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,825
Pond1Fish2_TimeLeft,258.254
Pond1_Type,RD
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.526
Pond1Fish3_PondTime,45.058
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,837
Pond1Fish3_TimeLeft,249.886
Pond1_Type,RD
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.765
Pond1Fish4_PondTime,54.092
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,849
Pond1Fish4_TimeLeft,240.852
Pond1_Type,RD
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.698
Pond1Fish5_PondTime,63.959
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,861
Pond1Fish5_TimeLeft,230.985
Pond1_GiveUpTime,0.471
Pond1_PondTime,74.662
Pond1_PondOutcome,60
Pond1_TotalOutcome,861
Pond1_TimeLeft,220.282
Pond11IntroTime,14.95783226331696
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.732
Pond11Fish1_PondTime,25.318
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,872
Pond11Fish1_TimeLeft,194.964
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.556
Pond11Fish2_PondTime,33.683
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,883
Pond11Fish2_TimeLeft,186.599
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.719
Pond11Fish3_PondTime,42.719
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,894
Pond11Fish3_TimeLeft,177.563
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.647
Pond11Fish4_PondTime,52.584
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,905
Pond11Fish4_TimeLeft,167.698
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,0.693
Pond11Fish5_PondTime,63.52
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,916
Pond11Fish5_TimeLeft,156.762
Pond11_GiveUpTime,0.47
Pond11_PondTime,75.587
Pond11_PondOutcome,55
Pond11_TotalOutcome,916
Pond11_TimeLeft,144.694
Pond5IntroTime,18.46755759557709
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.849
Pond5Fish1_PondTime,26.716
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,926
Pond5Fish1_TimeLeft,117.978
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.638
Pond5Fish2_PondTime,32.601
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,936
Pond5Fish2_TimeLeft,112.093
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.631
Pond5Fish3_PondTime,38.717
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,946
Pond5Fish3_TimeLeft,105.977
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.683
Pond5Fish4_PondTime,45.085
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,956
Pond5Fish4_TimeLeft,99.609
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.69
Pond5Fish5_PondTime,51.736
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,966
