,5a6ce4d3d5d4cb0001d667c8
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.822
Pond8Fish2_PondTime,33.812
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,618
Pond8Fish2_TimeLeft,529.173
Pond8_GiveUpTime,0.772
Pond8_PondTime,41.998
Pond8_PondOutcome,22
Pond8_TotalOutcome,618
Pond8_TimeLeft,520.987
Pond10IntroTime,10.117401136085391
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,0.89
Pond10Fish1_PondTime,18.787
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,629
Pond10Fish1_TimeLeft,502.2
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.194
Pond10Fish2_PondTime,25.156
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,640
Pond10Fish2_TimeLeft,495.831
Pond10_GiveUpTime,1.309
Pond10_PondTime,26.262
Pond10_PondOutcome,22
Pond10_TotalOutcome,640
Pond10_TimeLeft,494.725
Pond2IntroTime,18.540909111034125
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.994
Pond2Fish1_PondTime,26.964
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,651
Pond2Fish1_TimeLeft,467.761
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.434
Pond2Fish2_PondTime,33.088
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,662
Pond2Fish2_TimeLeft,461.637
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,0.956
Pond2Fish3_PondTime,39.452
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,673
Pond2Fish3_TimeLeft,455.273
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.099
Pond2Fish4_PondTime,46.117
