,5bf0d82b5823f30001538ff5
Pond8Fish3_PondOutcome,22
Pond8Fish3_TotalOutcome,297
Pond8Fish3_TimeLeft,919.276
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.028
Pond8Fish4_PondTime,29.864
Pond8Fish4_PondOutcome,33
Pond8Fish4_TotalOutcome,308
Pond8Fish4_TimeLeft,916.942
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.921
Pond8Fish5_PondTime,35.895
Pond8Fish5_PondOutcome,44
Pond8Fish5_TotalOutcome,319
Pond8Fish5_TimeLeft,910.911
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,1.276
Pond8Fish6_PondTime,38.896
Pond8Fish6_PondOutcome,55
Pond8Fish6_TotalOutcome,330
Pond8Fish6_TimeLeft,907.91
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.994
Pond8Fish7_PondTime,45.761
Pond8Fish7_PondOutcome,66
Pond8Fish7_TotalOutcome,341
Pond8Fish7_TimeLeft,901.045
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.052
Pond8Fish8_PondTime,49.826
Pond8Fish8_PondOutcome,77
Pond8Fish8_TotalOutcome,352
Pond8Fish8_TimeLeft,896.98
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,0.817
Pond8Fish9_PondTime,58.125
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,363
Pond8Fish9_TimeLeft,888.681
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,1.064
Pond8Fish10_PondTime,64.189
Pond8Fish10_PondOutcome,99
Pond8Fish10_TotalOutcome,374
Pond8Fish10_TimeLeft,882.617
Pond8_Type,N
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,15
Pond8Fish11_CatchTime,0.969
Pond8Fish11_PondTime,75.489
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,385
Pond8Fish11_TimeLeft,871.317
Pond8_Type,N
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,20
Pond8Fish12_CatchTime,1.135
Pond8Fish12_PondTime,86.553
Pond8Fish12_PondOutcome,121
Pond8Fish12_TotalOutcome,396
Pond8Fish12_TimeLeft,860.252
Pond8_GiveUpTime,1.84
Pond8_PondTime,88.141
Pond8_PondOutcome,121
Pond8_TotalOutcome,396
Pond8_TimeLeft,858.664
Pond7IntroTime,11.900226478464901
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.446
Pond7Fish1_PondTime,19.708
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,407
Pond7Fish1_TimeLeft,838.956
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,20.789
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,407
Pond7Fish2_TimeLeft,837.875
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.97
Pond7Fish3_PondTime,26.42
Pond7Fish3_PondOutcome,22
Pond7Fish3_TotalOutcome,418
Pond7Fish3_TimeLeft,832.244
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,-1
Pond7Fish4_PondTime,27.771
Pond7Fish4_PondOutcome,22
Pond7Fish4_TotalOutcome,418
Pond7Fish4_TimeLeft,830.893
Pond7_Type,N
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.173
Pond7Fish5_PondTime,33.852
Pond7Fish5_PondOutcome,33
Pond7Fish5_TotalOutcome,429
Pond7Fish5_TimeLeft,824.812
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,-1
Pond7Fish6_PondTime,35.588
Pond7Fish6_PondOutcome,33
Pond7Fish6_TotalOutcome,429
Pond7Fish6_TimeLeft,823.076
Pond7_Type,N
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.939
Pond7Fish7_PondTime,42.218
Pond7Fish7_PondOutcome,44
Pond7Fish7_TotalOutcome,440
Pond7Fish7_TimeLeft,816.446
Pond7_Type,N
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,1.135
Pond7Fish8_PondTime,44.619
Pond7Fish8_PondOutcome,55
Pond7Fish8_TotalOutcome,451
Pond7Fish8_TimeLeft,814.045
Pond7_Type,N
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,1.714
Pond7Fish9_PondTime,52.099
Pond7Fish9_PondOutcome,66
Pond7Fish9_TotalOutcome,462
Pond7Fish9_TimeLeft,806.565
Pond7_Type,N
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,1.273
Pond7Fish10_PondTime,55.548
Pond7Fish10_PondOutcome,77
Pond7Fish10_TotalOutcome,473
Pond7Fish10_TimeLeft,803.116
Pond7_Type,N
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,0.973
Pond7Fish11_PondTime,64.468
Pond7Fish11_PondOutcome,88
Pond7Fish11_TotalOutcome,484
Pond7Fish11_TimeLeft,794.196
Pond7_Type,N
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,1
Pond7Fish12_PondTime,69.915
Pond7Fish12_PondOutcome,99
Pond7Fish12_TotalOutcome,495
Pond7Fish12_TimeLeft,788.748
Pond7_Type,N
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,15
Pond7Fish13_CatchTime,0.921
Pond7Fish13_PondTime,81.827
Pond7Fish13_PondOutcome,110
Pond7Fish13_TotalOutcome,506
Pond7Fish13_TimeLeft,776.837
Pond7_Type,N
Pond7Fish14_FishType,green
Pond7Fish14_FishLatency,20
Pond7Fish14_CatchTime,1.131
Pond7Fish14_PondTime,92.277
Pond7Fish14_PondOutcome,121
Pond7Fish14_TotalOutcome,517
Pond7Fish14_TimeLeft,766.387
Pond7_Type,N
Pond7Fish15_FishType,green
Pond7Fish15_FishLatency,30
Pond7Fish15_CatchTime,0.983
Pond7Fish15_PondTime,114.188
Pond7Fish15_PondOutcome,132
Pond7Fish15_TotalOutcome,528
Pond7Fish15_TimeLeft,744.476
Pond7_GiveUpTime,1.048
Pond7_PondTime,114.834
Pond7_PondOutcome,132
Pond7_TotalOutcome,528
Pond7_TimeLeft,743.83
Pond6IntroTime,11.068536876700819
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.958
Pond6Fish1_PondTime,20.253
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,540
Pond6Fish1_TimeLeft,723.577
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.076
Pond6Fish2_PondTime,27.23
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,552
Pond6Fish2_TimeLeft,716.6
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.838
Pond6Fish3_PondTime,34.599
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,564
Pond6Fish3_TimeLeft,709.231
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.465
Pond6Fish4_PondTime,42.413
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,576
Pond6Fish4_TimeLeft,701.417
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.063
Pond6Fish5_PondTime,50.778
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,588
Pond6Fish5_TimeLeft,693.052
Pond6_Type,RD
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.022
Pond6Fish6_PondTime,59.808
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,600
Pond6Fish6_TimeLeft,684.022
Pond6_Type,RD
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.08
Pond6Fish7_PondTime,69.674
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,612
Pond6Fish7_TimeLeft,674.156
Pond6_Type,RD
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,0.936
Pond6Fish8_PondTime,80.607
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,624
Pond6Fish8_TimeLeft,663.223
Pond6_Type,RD
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.326
Pond6Fish9_PondTime,92.968
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,636
Pond6Fish9_TimeLeft,650.862
Pond6_GiveUpTime,0.924
Pond6_PondTime,93.824
Pond6_PondOutcome,108
Pond6_TotalOutcome,636
Pond6_TimeLeft,650.006
Pond12IntroTime,18.715948530007154
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.13
Pond12Fish1_PondTime,27.905
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,647
Pond12Fish1_TimeLeft,622.101
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.976
Pond12Fish2_PondTime,34.889
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,658
Pond12Fish2_TimeLeft,615.117
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.137
Pond12Fish3_PondTime,42.255
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,669
Pond12Fish3_TimeLeft,607.751
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.195
Pond12Fish4_PondTime,50.07
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,680
Pond12Fish4_TimeLeft,599.936
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.071
Pond12Fish5_PondTime,58.435
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,691
Pond12Fish5_TimeLeft,591.571
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.098
Pond12Fish6_PondTime,67.465
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,702
Pond12Fish6_TimeLeft,582.541
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.094
Pond12Fish7_PondTime,77.33
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,713
Pond12Fish7_TimeLeft,572.676
Pond12_GiveUpTime,0.836
Pond12_PondTime,88.728
Pond12_PondOutcome,77
Pond12_TotalOutcome,713
Pond12_TimeLeft,561.278
Pond11IntroTime,19.42095151403919
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.02
Pond11Fish1_PondTime,29.779
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,724
Pond11Fish1_TimeLeft,531.499
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.004
Pond11Fish2_PondTime,38.144
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,735
Pond11Fish2_TimeLeft,523.134
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.05
Pond11Fish3_PondTime,47.176
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,746
Pond11Fish3_TimeLeft,514.102
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.032
Pond11Fish4_PondTime,57.04
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,757
Pond11Fish4_TimeLeft,504.238
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.016
Pond11Fish5_PondTime,67.97
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,768
Pond11Fish5_TimeLeft,493.308
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.216
Pond11Fish6_PondTime,80.335
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,779
Pond11Fish6_TimeLeft,480.942
Pond11_GiveUpTime,0.974
Pond11_PondTime,81.138
Pond11_PondOutcome,66
Pond11_TotalOutcome,779
Pond11_TimeLeft,480.14
Pond1IntroTime,13.150885992217809
Pond1_Type,RD
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.217
Pond1Fish1_PondTime,23.042
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,791
Pond1Fish1_TimeLeft,457.098
Pond1_Type,RD
Pond1Fish2_FishType,gray
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.159
Pond1Fish2_PondTime,30.856
Pond1Fish2_PondOutcome,14
Pond1Fish2_TotalOutcome,793
Pond1Fish2_TimeLeft,449.284
Pond1_Type,RD
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.104
Pond1Fish3_PondTime,39.222
Pond1Fish3_PondOutcome,26
Pond1Fish3_TotalOutcome,805
Pond1Fish3_TimeLeft,440.918
Pond1_Type,RD
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.084
Pond1Fish4_PondTime,48.255
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,817
Pond1Fish4_TimeLeft,431.885
Pond1_Type,RD
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.093
Pond1Fish5_PondTime,58.119
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,829
Pond1Fish5_TimeLeft,422.021
Pond1_GiveUpTime,0.849
Pond1_PondTime,69.463
Pond1_PondOutcome,50
Pond1_TotalOutcome,829
Pond1_TimeLeft,410.677
Pond10IntroTime,19.080831471364945
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.278
Pond10Fish1_PondTime,27.73
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,840
Pond10Fish1_TimeLeft,382.947
Pond10_Type,N
