,5c9e974dc00f5a0012f9884d
Pond6Fish13_FishLatency,20
Pond6Fish13_CatchTime,0.974
Pond6Fish13_PondTime,182.087
Pond6Fish13_PondOutcome,122
Pond6Fish13_TotalOutcome,719
Pond6Fish13_TimeLeft,443.994
Pond6_GiveUpTime,0.961
Pond6_PondTime,182.626
Pond6_PondOutcome,122
Pond6_TotalOutcome,719
Pond6_TimeLeft,443.455
Pond3IntroTime,10.811482104472816
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.104
Pond3Fish1_PondTime,21.172
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,730
Pond3Fish1_TimeLeft,422.283
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.894
Pond3Fish2_PondTime,29.534
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,741
Pond3Fish2_TimeLeft,413.921
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.323
Pond3Fish3_PondTime,38.571
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,752
Pond3Fish3_TimeLeft,404.884
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.1
Pond3Fish4_PondTime,48.432
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,763
Pond3Fish4_TimeLeft,395.023
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.013
Pond3Fish5_PondTime,59.365
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,774
Pond3Fish5_TimeLeft,384.09
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.261
Pond3Fish6_PondTime,71.73
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,785
Pond3Fish6_TimeLeft,371.725
