,589b7f625e63bf00013b2e5a
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.747
Pond5Fish9_PondTime,78.149
Pond5Fish9_PondOutcome,120
Pond5Fish9_TotalOutcome,417
Pond5Fish9_TimeLeft,791.855
Pond5_Type,RT
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.8
Pond5Fish10_PondTime,87.498
Pond5Fish10_PondOutcome,130
Pond5Fish10_TotalOutcome,427
Pond5Fish10_TimeLeft,782.506
Pond5_Type,RT
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,1.296
Pond5Fish11_PondTime,97.502
Pond5Fish11_PondOutcome,140
Pond5Fish11_TotalOutcome,437
Pond5Fish11_TimeLeft,772.501
Pond5_GiveUpTime,0.758
Pond5_PondTime,108.6
Pond5_PondOutcome,140
Pond5_TotalOutcome,437
Pond5_TimeLeft,761.405
Pond11IntroTime,12.07401174120605
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.757
Pond11Fish1_PondTime,22.532
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,448
Pond11Fish1_TimeLeft,738.872
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.037
Pond11Fish2_PondTime,30.941
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,459
Pond11Fish2_TimeLeft,730.464
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.698
Pond11Fish3_PondTime,40.001
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,470
Pond11Fish3_TimeLeft,721.404
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.654
Pond11Fish4_PondTime,49.922
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,481
Pond11Fish4_TimeLeft,711.482
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,0.895
Pond11Fish5_PondTime,60.946
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,492
Pond11Fish5_TimeLeft,700.459
Pond11_GiveUpTime,2.081
Pond11_PondTime,62.481
Pond11_PondOutcome,55
Pond11_TotalOutcome,492
Pond11_TimeLeft,698.923
Pond7IntroTime,15.24391079088673
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.751
Pond7Fish1_PondTime,24.313
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,503
Pond7Fish1_TimeLeft,674.609
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.728
Pond7Fish2_PondTime,30.985
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,514
Pond7Fish2_TimeLeft,667.938
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.567
Pond7Fish3_PondTime,38.048
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,525
Pond7Fish3_TimeLeft,660.875
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.096
Pond7Fish4_PondTime,45.437
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,536
Pond7Fish4_TimeLeft,653.486
Pond7_Type,N
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.673
Pond7Fish5_PondTime,53.328
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,547
Pond7Fish5_TimeLeft,645.595
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.845
Pond7Fish6_PondTime,61.765
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,558
Pond7Fish6_TimeLeft,637.158
Pond7_Type,N
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.628
Pond7Fish7_PondTime,70.883
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,569
Pond7Fish7_TimeLeft,628.039
Pond7_Type,N
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.954
Pond7Fish8_PondTime,80.827
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,580
Pond7Fish8_TimeLeft,618.096
Pond7_Type,N
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,0.716
Pond7Fish9_PondTime,91.845
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,591
Pond7Fish9_TimeLeft,607.078
Pond7_Type,N
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,1.036
Pond7Fish10_PondTime,104.344
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,602
Pond7Fish10_TimeLeft,594.578
Pond7_GiveUpTime,0.907
Pond7_PondTime,104.917
Pond7_PondOutcome,110
Pond7_TotalOutcome,602
Pond7_TimeLeft,594.006
Pond9IntroTime,13.322430660482496
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.844
Pond9Fish1_PondTime,22.143
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,613
Pond9Fish1_TimeLeft,571.863
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,-1
Pond9Fish2_PondTime,28.664
Pond9Fish2_PondOutcome,11
Pond9Fish2_TotalOutcome,613
Pond9Fish2_TimeLeft,565.342
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.228
Pond9Fish3_PondTime,35.658
Pond9Fish3_PondOutcome,22
Pond9Fish3_TotalOutcome,624
Pond9Fish3_TimeLeft,558.348
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.624
Pond9Fish4_PondTime,42.848
Pond9Fish4_PondOutcome,33
Pond9Fish4_TotalOutcome,635
Pond9Fish4_TimeLeft,551.158
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.606
Pond9Fish5_PondTime,50.251
Pond9Fish5_PondOutcome,44
Pond9Fish5_TotalOutcome,646
Pond9Fish5_TimeLeft,543.755
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.635
Pond9Fish6_PondTime,58.327
Pond9Fish6_PondOutcome,55
Pond9Fish6_TotalOutcome,657
Pond9Fish6_TimeLeft,535.679
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.751
Pond9Fish7_PondTime,66.912
Pond9Fish7_PondOutcome,66
Pond9Fish7_TotalOutcome,668
Pond9Fish7_TimeLeft,527.094
Pond9_GiveUpTime,1.222
Pond9_PondTime,76.599
Pond9_PondOutcome,66
Pond9_TotalOutcome,668
Pond9_TimeLeft,517.407
Pond8IntroTime,13.84778329404071
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.899
Pond8Fish1_PondTime,23.561
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,679
Pond8Fish1_TimeLeft,493.846
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.912
Pond8Fish2_PondTime,31.005
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,690
Pond8Fish2_TimeLeft,486.402
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.788
Pond8Fish3_PondTime,38.905
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,701
Pond8Fish3_TimeLeft,478.502
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.735
Pond8Fish4_PondTime,47.31
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,712
Pond8Fish4_TimeLeft,470.097
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.739
Pond8Fish5_PondTime,56.41
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,723
Pond8Fish5_TimeLeft,460.996
Pond8_GiveUpTime,0.882
Pond8_PondTime,66.985
Pond8_PondOutcome,55
Pond8_TotalOutcome,723
Pond8_TimeLeft,450.422
Pond6IntroTime,18.323749566916376
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.714
Pond6Fish1_PondTime,27.611
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,735
Pond6Fish1_TimeLeft,422.811
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,0.701
Pond6Fish2_PondTime,34.669
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,747
Pond6Fish2_TimeLeft,415.753
Pond6_Type,RD
Pond6Fish3_FishType,gray
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.803
Pond6Fish3_PondTime,42.097
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,749
Pond6Fish3_TimeLeft,408.324
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,0.632
Pond6Fish4_PondTime,49.956
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,761
Pond6Fish4_TimeLeft,400.466
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,0.767
Pond6Fish5_PondTime,58.362
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,773
Pond6Fish5_TimeLeft,392.06
Pond6_Type,RD
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,0.703
Pond6Fish6_PondTime,67.439
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,785
Pond6Fish6_TimeLeft,382.982
Pond6_Type,RD
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,0.806
Pond6Fish7_PondTime,77.45
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,797
Pond6Fish7_TimeLeft,372.972
Pond6_Type,RD
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,0.604
Pond6Fish8_PondTime,88.424
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,809
Pond6Fish8_TimeLeft,361.998
Pond6_Type,RD
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,0.571
Pond6Fish9_PondTime,100.829
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,821
Pond6Fish9_TimeLeft,349.592
Pond6_GiveUpTime,0.743
Pond6_PondTime,115.732
Pond6_PondOutcome,98
Pond6_TotalOutcome,821
Pond6_TimeLeft,334.69
Pond1IntroTime,17.40549691254273
Pond1_Type,RD
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.734
Pond1Fish1_PondTime,27.44
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,833
Pond1Fish1_TimeLeft,307.249
Pond1_Type,RD
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.853
Pond1Fish2_PondTime,35.299
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,845
Pond1Fish2_TimeLeft,299.391
Pond1_Type,RD
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.71
Pond1Fish3_PondTime,43.689
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,857
Pond1Fish3_TimeLeft,291.001
Pond1_Type,RD
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.745
Pond1Fish4_PondTime,52.753
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,869
Pond1Fish4_TimeLeft,281.937
Pond1_Type,RD
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.67
Pond1Fish5_PondTime,62.662
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,881
Pond1Fish5_TimeLeft,272.028
Pond1_Type,RD
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
