,5b715fbd6d79f00001375b11
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,646
Pond5Fish3_TimeLeft,426.367
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.216
Pond5Fish4_PondTime,32.51
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,658
Pond5Fish4_TimeLeft,417.97
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.526
Pond5Fish5_PondTime,41.562
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,670
Pond5Fish5_TimeLeft,408.918
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.122
Pond5Fish6_PondTime,51.445
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,682
Pond5Fish6_TimeLeft,399.035
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.235
Pond5Fish7_PondTime,62.385
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,694
Pond5Fish7_TimeLeft,388.095
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.415
Pond5Fish8_PondTime,74.765
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,706
Pond5Fish8_TimeLeft,375.715
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.177
Pond5Fish9_PondTime,89.141
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,718
Pond5Fish9_TimeLeft,361.336
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.49
Pond5Fish10_PondTime,106.544
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,730
Pond5Fish10_TimeLeft,343.935
Type,RD
FishN,12
Fish,11
Pond5Fish11_FishType,gray
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,1.293
Pond5Fish11_PondTime,128.919
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,732
Pond5Fish11_TimeLeft,321.561
Type,RD
FishN,12
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,1.459
Pond5Fish12_PondTime,161.281
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,744
Pond5Fish12_TimeLeft,289.199
PondEnd_LastFish,12
FishN,14
Type,RD
GiveUpTime,1.595
PondTime,162.549
TimeLeft,287.429
PondOutcome,134
TotalOutcome,744
PondStart,PondStart
PondIntroTime,17.25696351379156
Type,RD
FishN,18
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.153
Pond1Fish1_PondTime,7.825
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,756
Pond1Fish1_TimeLeft,261.692
Type,RD
FishN,18
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.125
Pond1Fish2_PondTime,13.957
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,768
Pond1Fish2_TimeLeft,255.56
Type,RD
FishN,18
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.156
Pond1Fish3_PondTime,20.335
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,780
Pond1Fish3_TimeLeft,249.182
Type,RD
FishN,18
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.765
Pond1Fish4_PondTime,27.069
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,792
Pond1Fish4_TimeLeft,242.448
Type,RD
FishN,18
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.79
Pond1Fish5_PondTime,34.061
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,804
Pond1Fish5_TimeLeft,235.455
Type,RD
FishN,18
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.332
Pond1Fish6_PondTime,41.451
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,816
Pond1Fish6_TimeLeft,228.065
Type,RD
FishN,18
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.27
Pond1Fish7_PondTime,49.288
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,828
Pond1Fish7_TimeLeft,220.229
Type,RD
FishN,18
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.279
Pond1Fish8_PondTime,57.649
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,840
Pond1Fish8_TimeLeft,211.868
Type,RD
FishN,18
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.377
Pond1Fish9_PondTime,66.703
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,852
Pond1Fish9_TimeLeft,202.814
Type,RD
FishN,18
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.331
Pond1Fish10_PondTime,76.579
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,864
Pond1Fish10_TimeLeft,192.938
Type,RD
FishN,18
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.297
Pond1Fish11_PondTime,87.538
Pond1Fish11_PondOutcome,132
Pond1Fish11_TotalOutcome,876
Pond1Fish11_TimeLeft,181.979
Type,RD
FishN,18
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.138
Pond1Fish12_PondTime,99.912
Pond1Fish12_PondOutcome,144
Pond1Fish12_TotalOutcome,888
Pond1Fish12_TimeLeft,169.605
Type,RD
FishN,18
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,1.621
Pond1Fish13_PondTime,114.292
Pond1Fish13_PondOutcome,156
Pond1Fish13_TotalOutcome,900
Pond1Fish13_TimeLeft,155.225
Type,RD
FishN,18
Fish,14
Pond1Fish14_FishType,blue
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,1.12
Pond1Fish14_PondTime,131.687
Pond1Fish14_PondOutcome,168
Pond1Fish14_TotalOutcome,912
Pond1Fish14_TimeLeft,137.83
Type,RD
FishN,18
Fish,15
Pond1Fish15_FishType,blue
Pond1Fish15_FishLatency,15
Pond1Fish15_CatchTime,1.471
Pond1Fish15_PondTime,154.059
Pond1Fish15_PondOutcome,180
Pond1Fish15_TotalOutcome,924
Pond1Fish15_TimeLeft,115.458
Type,RD
FishN,18
Fish,16
Pond1Fish16_FishType,blue
Pond1Fish16_FishLatency,20
Pond1Fish16_CatchTime,1.661
Pond1Fish16_PondTime,186.429
Pond1Fish16_PondOutcome,192
Pond1Fish16_TotalOutcome,936
Pond1Fish16_TimeLeft,83.088
PondEnd_LastFish,16
FishN,18
