,5bb787e0d2279e0001d00e0b
Pond3Fish7_PondTime,58.416
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,514
Pond3Fish7_TimeLeft,755.772
Type,RD
FishN,18
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.477
Pond3Fish8_PondTime,69.397
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,526
Pond3Fish8_TimeLeft,744.791
Type,RD
FishN,18
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,1.249
Pond3Fish9_PondTime,81.797
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,538
Pond3Fish9_TimeLeft,732.391
Type,RD
FishN,18
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,1.387
Pond3Fish10_PondTime,96.205
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,550
Pond3Fish10_TimeLeft,717.983
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,0.982
PondTime,96.783
TimeLeft,716.9
PondOutcome,110
TotalOutcome,550
PondStart,PondStart
PondIntroTime,19.96472155675292
Type,RT
FishN,18
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,1.506
Pond12Fish1_PondTime,7.674
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,560
Pond12Fish1_TimeLeft,688.628
Type,RT
FishN,18
Fish,2
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.328
Pond12Fish2_PondTime,13.606
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,580
Pond12Fish2_TimeLeft,682.696
Type,RT
FishN,18
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,1.201
Pond12Fish3_PondTime,19.76
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,590
Pond12Fish3_TimeLeft,676.542
Type,RT
FishN,18
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,1.453
Pond12Fish4_PondTime,26.139
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,600
Pond12Fish4_TimeLeft,670.163
Type,RT
FishN,18
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,1.187
Pond12Fish5_PondTime,32.822
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,610
Pond12Fish5_TimeLeft,663.48
Type,RT
FishN,18
Fish,6
Pond12Fish6_FishType,golden
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,1.341
Pond12Fish6_PondTime,39.871
Pond12Fish6_PondOutcome,80
Pond12Fish6_TotalOutcome,630
Pond12Fish6_TimeLeft,656.431
Type,RT
FishN,18
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,1.435
Pond12Fish7_PondTime,47.271
Pond12Fish7_PondOutcome,90
Pond12Fish7_TotalOutcome,640
Pond12Fish7_TimeLeft,649.031
Type,RT
FishN,18
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,1.456
Pond12Fish8_PondTime,55.136
Pond12Fish8_PondOutcome,100
Pond12Fish8_TotalOutcome,650
Pond12Fish8_TimeLeft,641.166
Type,RT
FishN,18
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,0.737
Pond12Fish9_PondTime,63.536
Pond12Fish9_PondOutcome,110
Pond12Fish9_TotalOutcome,660
Pond12Fish9_TimeLeft,632.766
Type,RT
FishN,18
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,1.249
Pond12Fish10_PondTime,72.618
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,670
Pond12Fish10_TimeLeft,623.684
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,1.412
PondTime,73.453
TimeLeft,622.345
PondOutcome,120
TotalOutcome,670
PondStart,PondStart
PondIntroTime,19.33031262597069
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.444
Pond7Fish1_PondTime,8.938
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,681
Pond7Fish1_TimeLeft,593.452
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,1.531
Pond7Fish2_PondTime,16.321
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,692
Pond7Fish2_TimeLeft,586.069
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.486
Pond7Fish3_PondTime,24.187
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,703
Pond7Fish3_TimeLeft,578.203
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,1.19
Pond7Fish4_PondTime,32.603
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,714
Pond7Fish4_TimeLeft,569.787
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.482
Pond7Fish5_PondTime,41.668
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,725
Pond7Fish5_TimeLeft,560.721
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.329
Pond7Fish6_PondTime,51.585
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,736
Pond7Fish6_TimeLeft,550.805
Type,N
FishN,12
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.185
Pond7Fish7_PondTime,62.566
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,747
Pond7Fish7_TimeLeft,539.824
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,8.571428571428571
