,5d3a286034acef001ceb73ac
Pond3Fish10_TotalOutcome,508
Pond3Fish10_TimeLeft,566.131
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,1.069
Pond3Fish11_PondTime,102.143
Pond3Fish11_PondOutcome,100
Pond3Fish11_TotalOutcome,518
Pond3Fish11_TimeLeft,551.76
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,12
Pond3Fish12_CatchTime,1.052
Pond3Fish12_PondTime,119.509
Pond3Fish12_PondOutcome,110
Pond3Fish12_TotalOutcome,528
Pond3Fish12_TimeLeft,534.394
Type,RT
FishN,18
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,15
Pond3Fish13_CatchTime,1.103
Pond3Fish13_PondTime,141.879
Pond3Fish13_PondOutcome,120
Pond3Fish13_TotalOutcome,538
Pond3Fish13_TimeLeft,512.024
Type,RT
FishN,18
Fish,14
Pond3Fish14_FishType,purple
Pond3Fish14_FishLatency,20
Pond3Fish14_CatchTime,0.981
Pond3Fish14_PondTime,174.247
Pond3Fish14_PondOutcome,130
Pond3Fish14_TotalOutcome,548
Pond3Fish14_TimeLeft,479.656
PondEnd_LastFish,14
FishN,16
Type,RT
GiveUpTime,4.091
PondTime,177.517
TimeLeft,475.884
PondOutcome,130
TotalOutcome,548
PondStart,PondStart
PondIntroTime,12.65948511660099
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.249
Pond5Fish1_PondTime,8.904
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,558
Pond5Fish1_TimeLeft,453.702
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.365
Pond5Fish2_PondTime,16.273
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,568
Pond5Fish2_TimeLeft,446.333
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.159
Pond5Fish3_PondTime,24.104
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,578
Pond5Fish3_TimeLeft,438.502
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.044
Pond5Fish4_PondTime,32.471
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,588
Pond5Fish4_TimeLeft,430.135
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.278
Pond5Fish5_PondTime,41.505
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,598
Pond5Fish5_TimeLeft,421.101
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.311
Pond5Fish6_PondTime,51.372
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,608
Pond5Fish6_TimeLeft,411.234
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.302
Pond5Fish7_PondTime,62.31
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,618
Pond5Fish7_TimeLeft,400.296
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.438
Pond5Fish8_PondTime,74.677
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,628
Pond5Fish8_TimeLeft,387.929
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.036
Pond5Fish9_PondTime,89.045
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,638
Pond5Fish9_TimeLeft,373.561
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.611
