,57c1ab62ffd38700010b4637
Pond11Fish4_TimeLeft,749.856
Type,N
FishN,15
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.499
Pond11Fish5_PondTime,35.431
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,497
Pond11Fish5_TimeLeft,742.47
Type,N
FishN,15
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.485
Pond11Fish6_PondTime,43.264
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,508
Pond11Fish6_TimeLeft,734.637
Type,N
FishN,15
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,-1
Pond11Fish7_PondTime,51.694
Pond11Fish7_PondOutcome,66
Pond11Fish7_TotalOutcome,508
Pond11Fish7_TimeLeft,726.207
Type,N
FishN,15
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.403
Pond11Fish8_PondTime,60.73
Pond11Fish8_PondOutcome,77
Pond11Fish8_TotalOutcome,519
Pond11Fish8_TimeLeft,717.171
Type,N
FishN,15
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,1.269
Pond11Fish9_PondTime,70.612
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,530
Pond11Fish9_TimeLeft,707.289
Type,N
FishN,15
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,1.458
Pond11Fish10_PondTime,81.561
Pond11Fish10_PondOutcome,99
Pond11Fish10_TotalOutcome,541
Pond11Fish10_TimeLeft,696.34
Type,N
FishN,15
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,1.313
Pond11Fish11_PondTime,93.945
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,552
Pond11Fish11_TimeLeft,683.956
PondEnd_LastFish,11
FishN,17
Type,N
GiveUpTime,1.395
PondTime,94.854
TimeLeft,682.546
PondOutcome,110
TotalOutcome,552
PondStart,PondStart
PondIntroTime,14.830212807282805
Type,RD
FishN,18
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.489
Pond2Fish1_PondTime,9.73
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,564
Pond2Fish1_TimeLeft,657.319
Type,RD
FishN,18
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.881
Pond2Fish2_PondTime,18.307
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,576
Pond2Fish2_TimeLeft,648.742
Type,RD
FishN,18
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.617
Pond2Fish3_PondTime,27.342
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,588
Pond2Fish3_TimeLeft,639.707
Type,RD
FishN,18
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.399
Pond2Fish4_PondTime,37.208
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,600
