,5d5b9a34a69ee6000143803d
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.923
Pond6Fish3_PondTime,19.994
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,541
Pond6Fish3_TimeLeft,323.73
Type,RT
FishN,15
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.838
Pond6Fish4_PondTime,26.393
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,551
Pond6Fish4_TimeLeft,317.331
Type,RT
FishN,15
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,0.83
Pond6Fish5_PondTime,33.073
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,561
Pond6Fish5_TimeLeft,310.651
Type,RT
FishN,15
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.762
Pond6Fish6_PondTime,40.073
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,571
Pond6Fish6_TimeLeft,303.651
Type,RT
FishN,15
Fish,7
Pond6Fish7_FishType,golden
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,0.717
Pond6Fish7_PondTime,47.463
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,591
Pond6Fish7_TimeLeft,296.261
Type,RT
FishN,15
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,0.677
Pond6Fish8_PondTime,55.306
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,601
Pond6Fish8_TimeLeft,288.417
Type,RT
FishN,15
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,0.781
Pond6Fish9_PondTime,63.704
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,611
Pond6Fish9_TimeLeft,280.02
Type,RT
FishN,15
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,0.765
Pond6Fish10_PondTime,72.768
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,621
Pond6Fish10_TimeLeft,270.955
Type,RT
FishN,15
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,0.872
Pond6Fish11_PondTime,82.664
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,631
Pond6Fish11_TimeLeft,261.06
Type,RT
FishN,15
Fish,12
Pond6Fish12_FishType,golden
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,0.702
Pond6Fish12_PondTime,93.624
Pond6Fish12_PondOutcome,140
Pond6Fish12_TotalOutcome,651
Pond6Fish12_TimeLeft,250.099
Type,RT
FishN,15
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,8.571428571428571
Pond6Fish13_CatchTime,0.641
Pond6Fish13_PondTime,106.021
Pond6Fish13_PondOutcome,150
Pond6Fish13_TotalOutcome,661
Pond6Fish13_TimeLeft,237.702
Type,RT
FishN,15
Fish,14
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,10
Pond6Fish14_CatchTime,0.801
Pond6Fish14_PondTime,120.414
Pond6Fish14_PondOutcome,160
Pond6Fish14_TotalOutcome,671
Pond6Fish14_TimeLeft,223.31
Type,RT
FishN,15
Fish,15
Pond6Fish15_FishType,purple
Pond6Fish15_FishLatency,12
Pond6Fish15_CatchTime,1.049
Pond6Fish15_PondTime,137.805
Pond6Fish15_PondOutcome,170
Pond6Fish15_TotalOutcome,681
Pond6Fish15_TimeLeft,205.919
Type,RT
FishN,15
Fish,16
Pond6Fish16_FishType,purple
Pond6Fish16_FishLatency,15
Pond6Fish16_CatchTime,1.484
Pond6Fish16_PondTime,160.194
Pond6Fish16_PondOutcome,180
Pond6Fish16_TotalOutcome,691
Pond6Fish16_TimeLeft,183.53
Type,RT
FishN,15
Fish,17
Pond6Fish17_FishType,purple
Pond6Fish17_FishLatency,20
Pond6Fish17_CatchTime,1.422
Pond6Fish17_PondTime,192.592
Pond6Fish17_PondOutcome,190
Pond6Fish17_TotalOutcome,701
Pond6Fish17_TimeLeft,151.132
Type,RT
FishN,15
Fish,18
Pond6Fish18_FishType,purple
Pond6Fish18_FishLatency,30
Pond6Fish18_CatchTime,0.959
Pond6Fish18_PondTime,254.983
Pond6Fish18_PondOutcome,200
Pond6Fish18_TotalOutcome,711
Pond6Fish18_TimeLeft,88.741
Type,RT
FishN,15
Fish,19
Pond6Fish19_FishType,purple
Pond6Fish19_FishLatency,60
Pond6Fish19_CatchTime,0.774
Pond6Fish19_PondTime,257.356
Pond6Fish19_PondOutcome,210
Pond6Fish19_TotalOutcome,721
Pond6Fish19_TimeLeft,86.368
